genre, occurence
"medieval",163
"soundtrack",212
"chamber music",5
"minimalism",4
"folk metal",2
"celtic",15
"japanese vgm",9
"dark ambient",26
"classical",9
"orchestra",11
"requiem",1
"opera",8
"classical piano",1
"choral",1
"ambient",6
"drone",6
"new age",6
"sea shanties",8
"neofolk",1
