genre, occurence
"medieval",16
"neofolk",4
"medieval metal",1
"darkwave",3
"neoclassical",4
"ebm",1
"celtic",10
"dark ambient",1
"folk",2
"indie folk",1
"traditional music",1
"celtic rock",1
"soundtrack",3
"folk metal",1
"japanese vgm",3
"new age",6
