genre, occurence
"soundtrack",10
"chamber pop",1
"medieval",6
"space music",3
"neoclassical",1
"japanese vgm",1
"neofolk",2
"celtic",4
"folk metal",2
"folk",2
"dark ambient",1
"ambient",1
"drone",1
