Playlist A, Playlist B, Feature, Cosine Similarity
6,7,Popularity,0.51
6,8,Popularity,0.39
6,9,Popularity,0.63
6,10,Popularity,0.90
6,11,Popularity,0.80
6,12,Popularity,0.52
6,13,Popularity,0.58
6,14,Popularity,0.69
6,15,Popularity,0.65
7,8,Popularity,0.35
7,9,Popularity,0.71
7,10,Popularity,0.61
7,11,Popularity,0.62
7,12,Popularity,0.71
7,13,Popularity,0.67
7,14,Popularity,0.77
7,15,Popularity,0.69
8,9,Popularity,0.49
8,10,Popularity,0.38
8,11,Popularity,0.41
8,12,Popularity,0.49
8,13,Popularity,0.53
8,14,Popularity,0.53
8,15,Popularity,0.41
9,10,Popularity,0.68
9,11,Popularity,0.69
9,12,Popularity,0.83
9,13,Popularity,0.86
9,14,Popularity,0.81
9,15,Popularity,0.76
10,11,Popularity,0.87
10,12,Popularity,0.60
10,13,Popularity,0.64
10,14,Popularity,0.73
10,15,Popularity,0.70
11,12,Popularity,0.58
11,13,Popularity,0.71
11,14,Popularity,0.77
11,15,Popularity,0.82
12,13,Popularity,0.83
12,14,Popularity,0.84
12,15,Popularity,0.65
13,14,Popularity,0.85
13,15,Popularity,0.78
14,15,Popularity,0.77
0,1,Danceability,0.52
0,2,Danceability,0.31
0,3,Danceability,0.78
0,4,Danceability,0.44
0,5,Danceability,0.33
0,6,Danceability,0.35
0,7,Danceability,0.51
0,8,Danceability,0.67
0,9,Danceability,0.55
0,10,Danceability,0.41
0,11,Danceability,0.41
0,12,Danceability,0.67
0,13,Danceability,0.65
0,14,Danceability,0.62
0,15,Danceability,0.41
1,2,Danceability,0.25
1,3,Danceability,0.63
1,4,Danceability,0.85
1,5,Danceability,0.25
1,6,Danceability,0.29
1,7,Danceability,0.45
1,8,Danceability,0.68
1,9,Danceability,0.47
1,10,Danceability,0.34
1,11,Danceability,0.38
1,12,Danceability,0.52
1,13,Danceability,0.50
1,14,Danceability,0.47
1,15,Danceability,0.40
2,3,Danceability,0.27
2,4,Danceability,0.22
2,5,Danceability,0.81
2,6,Danceability,0.62
2,7,Danceability,0.50
2,8,Danceability,0.40
2,9,Danceability,0.35
2,10,Danceability,0.62
2,11,Danceability,0.45
2,12,Danceability,0.51
2,13,Danceability,0.52
2,14,Danceability,0.54
2,15,Danceability,0.52
3,4,Danceability,0.55
3,5,Danceability,0.27
3,6,Danceability,0.35
3,7,Danceability,0.56
3,8,Danceability,0.78
3,9,Danceability,0.56
3,10,Danceability,0.39
3,11,Danceability,0.43
3,12,Danceability,0.66
3,13,Danceability,0.65
3,14,Danceability,0.61
3,15,Danceability,0.45
4,5,Danceability,0.23
4,6,Danceability,0.34
4,7,Danceability,0.39
4,8,Danceability,0.55
4,9,Danceability,0.41
4,10,Danceability,0.33
4,11,Danceability,0.34
4,12,Danceability,0.48
4,13,Danceability,0.48
4,14,Danceability,0.44
4,15,Danceability,0.36
5,6,Danceability,0.69
5,7,Danceability,0.53
5,8,Danceability,0.36
5,9,Danceability,0.33
5,10,Danceability,0.77
5,11,Danceability,0.54
5,12,Danceability,0.54
5,13,Danceability,0.56
5,14,Danceability,0.62
5,15,Danceability,0.61
6,7,Danceability,0.65
6,8,Danceability,0.36
6,9,Danceability,0.60
6,10,Danceability,0.87
6,11,Danceability,0.71
6,12,Danceability,0.63
6,13,Danceability,0.67
6,14,Danceability,0.65
6,15,Danceability,0.72
7,8,Danceability,0.59
7,9,Danceability,0.74
7,10,Danceability,0.71
7,11,Danceability,0.81
7,12,Danceability,0.74
7,13,Danceability,0.85
7,14,Danceability,0.82
7,15,Danceability,0.73
8,9,Danceability,0.61
8,10,Danceability,0.47
8,11,Danceability,0.54
8,12,Danceability,0.65
8,13,Danceability,0.61
8,14,Danceability,0.60
8,15,Danceability,0.55
9,10,Danceability,0.58
9,11,Danceability,0.69
9,12,Danceability,0.85
9,13,Danceability,0.80
9,14,Danceability,0.78
9,15,Danceability,0.71
10,11,Danceability,0.84
10,12,Danceability,0.68
10,13,Danceability,0.73
