Playlist A, Playlist B, Feature, Cosine Similarity
5,6,Key,0.30
5,7,Key,0.32
5,8,Key,0.28
5,9,Key,0.23
6,7,Key,0.61
6,8,Key,0.58
6,9,Key,0.48
7,8,Key,0.54
7,9,Key,0.44
8,9,Key,0.52
0,1,Loudness,0.78
0,2,Loudness,0.85
0,3,Loudness,0.66
0,4,Loudness,0.24
0,5,Loudness,0.35
0,6,Loudness,0.84
0,7,Loudness,0.75
0,8,Loudness,0.82
0,9,Loudness,0.70
1,2,Loudness,0.80
1,3,Loudness,0.56
1,4,Loudness,0.28
1,5,Loudness,0.30
1,6,Loudness,0.69
1,7,Loudness,0.61
1,8,Loudness,0.68
1,9,Loudness,0.82
2,3,Loudness,0.63
2,4,Loudness,0.27
2,5,Loudness,0.32
2,6,Loudness,0.77
2,7,Loudness,0.69
2,8,Loudness,0.74
2,9,Loudness,0.73
3,4,Loudness,0.19
3,5,Loudness,0.47
3,6,Loudness,0.74
3,7,Loudness,0.78
3,8,Loudness,0.67
3,9,Loudness,0.50
4,5,Loudness,0.09
4,6,Loudness,0.17
4,7,Loudness,0.21
4,8,Loudness,0.19
4,9,Loudness,0.30
5,6,Loudness,0.39
5,7,Loudness,0.41
5,8,Loudness,0.36
5,9,Loudness,0.27
6,7,Loudness,0.83
6,8,Loudness,0.84
6,9,Loudness,0.60
7,8,Loudness,0.76
7,9,Loudness,0.56
8,9,Loudness,0.63
0,1,Mode,0.70
0,2,Mode,0.64
0,3,Mode,0.52
0,4,Mode,0.27
0,5,Mode,0.30
0,6,Mode,0.75
0,7,Mode,0.68
0,8,Mode,0.71
0,9,Mode,0.64
1,2,Mode,0.61
1,3,Mode,0.47
1,4,Mode,0.34
1,5,Mode,0.26
1,6,Mode,0.66
1,7,Mode,0.56
1,8,Mode,0.63
1,9,Mode,0.76
2,3,Mode,0.43
2,4,Mode,0.21
2,5,Mode,0.25
2,6,Mode,0.59
2,7,Mode,0.53
2,8,Mode,0.61
