Playlist A, Playlist B, Feature, Cosine Similarity
4,8,Danceability,0.73
4,9,Danceability,0.50
4,10,Danceability,0.49
4,11,Danceability,0.51
4,12,Danceability,0.31
5,6,Danceability,0.58
5,7,Danceability,0.71
5,8,Danceability,0.80
5,9,Danceability,0.48
5,10,Danceability,0.38
5,11,Danceability,0.61
5,12,Danceability,0.33
6,7,Danceability,0.66
6,8,Danceability,0.51
6,9,Danceability,0.23
6,10,Danceability,0.25
6,11,Danceability,0.84
6,12,Danceability,0.22
7,8,Danceability,0.83
7,9,Danceability,0.45
7,10,Danceability,0.41
7,11,Danceability,0.61
7,12,Danceability,0.21
8,9,Danceability,0.53
8,10,Danceability,0.43
8,11,Danceability,0.55
8,12,Danceability,0.31
9,10,Danceability,0.59
9,11,Danceability,0.27
9,12,Danceability,0.15
10,11,Danceability,0.26
10,12,Danceability,0.09
11,12,Danceability,0.33
0,1,Energy,0.60
0,2,Energy,0.73
0,3,Energy,0.74
0,4,Energy,0.68
0,5,Energy,0.74
0,6,Energy,0.75
0,7,Energy,0.59
0,8,Energy,0.54
0,9,Energy,0.36
0,10,Energy,0.28
0,11,Energy,0.52
0,12,Energy,0.31
1,2,Energy,0.48
1,3,Energy,0.61
1,4,Energy,0.38
1,5,Energy,0.38
1,6,Energy,0.70
1,7,Energy,0.29
1,8,Energy,0.59
1,9,Energy,0.30
1,10,Energy,0.23
1,11,Energy,0.39
1,12,Energy,0.23
2,3,Energy,0.73
2,4,Energy,0.76
2,5,Energy,0.77
2,6,Energy,0.53
2,7,Energy,0.76
2,8,Energy,0.63
2,9,Energy,0.47
2,10,Energy,0.36
2,11,Energy,0.36
2,12,Energy,0.21
3,4,Energy,0.67
3,5,Energy,0.60
3,6,Energy,0.68
3,7,Energy,0.56
3,8,Energy,0.50
3,9,Energy,0.43
3,10,Energy,0.31
3,11,Energy,0.35
3,12,Energy,0.25
4,5,Energy,0.73
4,6,Energy,0.50
4,7,Energy,0.66
4,8,Energy,0.65
4,9,Energy,0.52
4,10,Energy,0.53
4,11,Energy,0.33
4,12,Energy,0.13
5,6,Energy,0.45
5,7,Energy,0.67
5,8,Energy,0.60
5,9,Energy,0.36
5,10,Energy,0.34
5,11,Energy,0.33
5,12,Energy,0.15
6,7,Energy,0.36
6,8,Energy,0.58
6,9,Energy,0.37
6,10,Energy,0.28
6,11,Energy,0.61
6,12,Energy,0.41
7,8,Energy,0.52
7,9,Energy,0.38
7,10,Energy,0.35
7,11,Energy,0.31
7,12,Energy,0.13
8,9,Energy,0.41
8,10,Energy,0.35
8,11,Energy,0.41
8,12,Energy,0.10
9,10,Energy,0.56
9,11,Energy,0.24
9,12,Energy,0.18
10,11,Energy,0.16
10,12,Energy,0.05
11,12,Energy,0.45
0,1,Key,0.44
0,2,Key,0.57
0,3,Key,0.51
0,4,Key,0.46
0,5,Key,0.38
0,6,Key,0.67
0,7,Key,0.42
0,8,Key,0.59
0,9,Key,0.22
0,10,Key,0.29
0,11,Key,0.62
0,12,Key,nan
1,2,Key,0.39
1,3,Key,0.12
1,4,Key,0.35
1,5,Key,0.28
1,6,Key,0.49
1,7,Key,0.47
1,8,Key,0.40
1,9,Key,0.15
1,10,Key,0.25
1,11,Key,0.71
1,12,Key,nan
2,3,Key,0.57
2,4,Key,0.54
2,5,Key,0.59
2,6,Key,0.54
2,7,Key,0.70
2,8,Key,0.70
2,9,Key,0.35
2,10,Key,0.35
2,11,Key,0.56
2,12,Key,nan
3,4,Key,0.52
3,5,Key,0.63
3,6,Key,0.31
3,7,Key,0.44
3,8,Key,0.56
3,9,Key,0.27
3,10,Key,0.26
3,11,Key,0.34
3,12,Key,nan
4,5,Key,0.55
4,6,Key,0.35
4,7,Key,0.49
4,8,Key,0.61
4,9,Key,0.42
4,10,Key,0.44
4,11,Key,0.35
4,12,Key,nan
5,6,Key,0.15
5,7,Key,0.56
5,8,Key,0.65
5,9,Key,0.35
5,10,Key,0.30
5,11,Key,0.43
5,12,Key,nan
6,7,Key,0.49
6,8,Key,0.33
6,9,Key,0.14
6,10,Key,0.34
6,11,Key,0.59
6,12,Key,nan
7,8,Key,0.82
7,9,Key,0.32
7,10,Key,0.39
7,11,Key,0.63
7,12,Key,nan
8,9,Key,0.35
8,10,Key,0.35
8,11,Key,0.57
8,12,Key,nan
9,10,Key,0.60
9,11,Key,0.23
9,12,Key,nan
10,11,Key,0.32
10,12,Key,nan
11,12,Key,nan
0,1,Loudness,0.61
0,2,Loudness,0.84
0,3,Loudness,0.74
0,4,Loudness,0.66
0,5,Loudness,0.76
0,6,Loudness,0.87
0,7,Loudness,0.80
0,8,Loudness,0.70
0,9,Loudness,0.34
0,10,Loudness,0.52
0,11,Loudness,0.79
0,12,Loudness,0.36
1,2,Loudness,0.46
1,3,Loudness,0.50
1,4,Loudness,0.51
1,5,Loudness,0.52
1,6,Loudness,0.60
1,7,Loudness,0.59
1,8,Loudness,0.45
1,9,Loudness,0.19
1,10,Loudness,0.34
1,11,Loudness,0.77
1,12,Loudness,0.57
2,3,Loudness,0.92
2,4,Loudness,0.78
2,5,Loudness,0.91
2,6,Loudness,0.74
2,7,Loudness,0.91
2,8,Loudness,0.90
2,9,Loudness,0.41
2,10,Loudness,0.62
2,11,Loudness,0.67
2,12,Loudness,0.21
3,4,Loudness,0.78
3,5,Loudness,0.89
3,6,Loudness,0.68
3,7,Loudness,0.89
3,8,Loudness,0.87
3,9,Loudness,0.40
3,10,Loudness,0.63
3,11,Loudness,0.64
3,12,Loudness,0.18
4,5,Loudness,0.83
4,6,Loudness,0.58
4,7,Loudness,0.80
4,8,Loudness,0.77
4,9,Loudness,0.49
4,10,Loudness,0.74
4,11,Loudness,0.60
4,12,Loudness,0.29
5,6,Loudness,0.63
5,7,Loudness,0.89
5,8,Loudness,0.93
5,9,Loudness,0.42
5,10,Loudness,0.67
5,11,Loudness,0.60
5,12,Loudness,0.30
6,7,Loudness,0.74
6,8,Loudness,0.62
6,9,Loudness,0.30
6,10,Loudness,0.46
6,11,Loudness,0.84
6,12,Loudness,0.25
7,8,Loudness,0.86
7,9,Loudness,0.40
7,10,Loudness,0.62
7,11,Loudness,0.72
7,12,Loudness,0.31
8,9,Loudness,0.40
8,10,Loudness,0.63
8,11,Loudness,0.56
8,12,Loudness,0.22
9,10,Loudness,0.74
9,11,Loudness,0.27
9,12,Loudness,0.09
10,11,Loudness,0.44
10,12,Loudness,0.17
11,12,Loudness,0.33
0,1,Mode,0.13
0,2,Mode,0.37
0,3,Mode,0.44
0,4,Mode,0.32
0,5,Mode,0.37
0,6,Mode,0.39
0,7,Mode,0.63
0,8,Mode,0.23
0,9,Mode,0.13
0,10,Mode,0.33
0,11,Mode,0.39
0,12,Mode,0.26
1,2,Mode,0.00
1,3,Mode,0.36
1,4,Mode,0.25
1,5,Mode,0.14
1,6,Mode,0.25
1,7,Mode,0.24
1,8,Mode,0.00
1,9,Mode,0.09
1,10,Mode,0.09
1,11,Mode,0.50
1,12,Mode,0.00
2,3,Mode,0.51
2,4,Mode,0.44
2,5,Mode,0.31
2,6,Mode,0.00
2,7,Mode,0.17
2,8,Mode,0.43
2,9,Mode,0.18
2,10,Mode,0.13
2,11,Mode,0.18
2,12,Mode,0.00
3,4,Mode,0.49
3,5,Mode,0.56
3,6,Mode,0.24
3,7,Mode,0.65
3,8,Mode,0.37
3,9,Mode,0.17
3,10,Mode,0.31
3,11,Mode,0.24
3,12,Mode,0.00
4,5,Mode,0.43
4,6,Mode,0.12
4,7,Mode,0.36
4,8,Mode,0.53
4,9,Mode,0.17
4,10,Mode,0.27
4,11,Mode,0.25
4,12,Mode,0.25
5,6,Mode,0.14
5,7,Mode,0.56
5,8,Mode,0.44
5,9,Mode,0.00
5,10,Mode,0.32
5,11,Mode,0.29
5,12,Mode,0.29
6,7,Mode,0.49
6,8,Mode,0.00
6,9,Mode,0.17
6,10,Mode,0.27
6,11,Mode,0.00
6,12,Mode,0.00
7,8,Mode,0.29
7,9,Mode,0.21
7,10,Mode,0.35
7,11,Mode,0.24
7,12,Mode,0.24
8,9,Mode,0.16
8,10,Mode,0.33
8,11,Mode,0.00
8,12,Mode,0.30
9,10,Mode,0.22
9,11,Mode,0.00
9,12,Mode,0.00
10,11,Mode,0.00
10,12,Mode,0.00
11,12,Mode,0.00
0,1,Speechiness,0.57
0,2,Speechiness,0.78
0,3,Speechiness,0.83
0,4,Speechiness,0.67
0,5,Speechiness,0.76
0,6,Speechiness,0.81
0,7,Speechiness,0.74
0,8,Speechiness,0.45
0,9,Speechiness,0.40
0,10,Speechiness,0.50
0,11,Speechiness,0.74
0,12,Speechiness,0.27
1,2,Speechiness,0.49
1,3,Speechiness,0.55
1,4,Speechiness,0.41
1,5,Speechiness,0.46
1,6,Speechiness,0.77
1,7,Speechiness,0.53
1,8,Speechiness,0.44
1,9,Speechiness,0.26
1,10,Speechiness,0.35
1,11,Speechiness,0.78
1,12,Speechiness,0.58
2,3,Speechiness,0.95
2,4,Speechiness,0.80
2,5,Speechiness,0.91
2,6,Speechiness,0.73
2,7,Speechiness,0.85
2,8,Speechiness,0.54
2,9,Speechiness,0.45
2,10,Speechiness,0.61
2,11,Speechiness,0.64
2,12,Speechiness,0.25
3,4,Speechiness,0.83
3,5,Speechiness,0.94
3,6,Speechiness,0.74
3,7,Speechiness,0.91
3,8,Speechiness,0.58
3,9,Speechiness,0.47
3,10,Speechiness,0.62
3,11,Speechiness,0.71
3,12,Speechiness,0.27
4,5,Speechiness,0.86
4,6,Speechiness,0.58
4,7,Speechiness,0.75
4,8,Speechiness,0.51
4,9,Speechiness,0.55
4,10,Speechiness,0.71
4,11,Speechiness,0.53
4,12,Speechiness,0.22
5,6,Speechiness,0.66
5,7,Speechiness,0.87
5,8,Speechiness,0.56
5,9,Speechiness,0.48
5,10,Speechiness,0.65
5,11,Speechiness,0.61
5,12,Speechiness,0.24
6,7,Speechiness,0.65
6,8,Speechiness,0.52
6,9,Speechiness,0.36
6,10,Speechiness,0.45
6,11,Speechiness,0.94
6,12,Speechiness,0.41
7,8,Speechiness,0.51
7,9,Speechiness,0.43
7,10,Speechiness,0.57
7,11,Speechiness,0.61
7,12,Speechiness,0.27
8,9,Speechiness,0.30
8,10,Speechiness,0.37
8,11,Speechiness,0.44
8,12,Speechiness,0.08
9,10,Speechiness,0.76
9,11,Speechiness,0.33
9,12,Speechiness,0.15
10,11,Speechiness,0.42
10,12,Speechiness,0.17
11,12,Speechiness,0.37
0,1,Acousticness,0.53
0,2,Acousticness,0.60
0,3,Acousticness,0.48
0,4,Acousticness,0.47
0,5,Acousticness,0.57
0,6,Acousticness,0.50
0,7,Acousticness,0.58
0,8,Acousticness,0.51
0,9,Acousticness,0.28
0,10,Acousticness,0.32
0,11,Acousticness,0.54
0,12,Acousticness,0.51
1,2,Acousticness,0.56
1,3,Acousticness,0.38
1,4,Acousticness,0.55
1,5,Acousticness,0.51
1,6,Acousticness,0.67
1,7,Acousticness,0.50
1,8,Acousticness,0.41
1,9,Acousticness,0.21
1,10,Acousticness,0.25
1,11,Acousticness,0.77
1,12,Acousticness,0.44
2,3,Acousticness,0.92
2,4,Acousticness,0.65
2,5,Acousticness,0.90
2,6,Acousticness,0.77
2,7,Acousticness,0.91
2,8,Acousticness,0.90
2,9,Acousticness,0.43
2,10,Acousticness,0.51
2,11,Acousticness,0.71
2,12,Acousticness,0.22
3,4,Acousticness,0.63
3,5,Acousticness,0.90
3,6,Acousticness,0.66
3,7,Acousticness,0.85
3,8,Acousticness,0.91
3,9,Acousticness,0.43
3,10,Acousticness,0.53
3,11,Acousticness,0.62
3,12,Acousticness,0.01
4,5,Acousticness,0.71
4,6,Acousticness,0.53
4,7,Acousticness,0.66
