Playlist A, Playlist B, Feature, Cosine Similarity
5,6,Key,0.17
5,7,Key,0.15
5,8,Key,0.53
5,9,Key,0.30
6,7,Key,0.22
6,8,Key,0.38
6,9,Key,0.37
7,8,Key,0.18
7,9,Key,0.11
8,9,Key,0.37
0,1,Loudness,0.70
0,2,Loudness,0.64
0,3,Loudness,0.90
0,4,Loudness,0.16
0,5,Loudness,0.33
0,6,Loudness,0.92
0,7,Loudness,0.59
0,8,Loudness,0.55
0,9,Loudness,0.50
1,2,Loudness,0.41
1,3,Loudness,0.63
1,4,Loudness,0.24
1,5,Loudness,0.44
1,6,Loudness,0.65
1,7,Loudness,0.37
1,8,Loudness,0.74
1,9,Loudness,0.77
2,3,Loudness,0.70
2,4,Loudness,0.12
2,5,Loudness,0.21
2,6,Loudness,0.59
2,7,Loudness,0.91
2,8,Loudness,0.31
2,9,Loudness,0.33
3,4,Loudness,0.16
3,5,Loudness,0.29
3,6,Loudness,0.92
3,7,Loudness,0.65
3,8,Loudness,0.53
3,9,Loudness,0.48
4,5,Loudness,0.44
4,6,Loudness,0.15
4,7,Loudness,0.10
4,8,Loudness,0.31
4,9,Loudness,0.18
5,6,Loudness,0.30
5,7,Loudness,0.20
5,8,Loudness,0.64
5,9,Loudness,0.33
6,7,Loudness,0.57
6,8,Loudness,0.53
6,9,Loudness,0.52
7,8,Loudness,0.28
7,9,Loudness,0.35
8,9,Loudness,0.58
0,1,Mode,0.42
0,2,Mode,0.43
0,3,Mode,0.47
0,4,Mode,0.10
0,5,Mode,0.17
0,6,Mode,0.55
0,7,Mode,0.17
0,8,Mode,0.16
0,9,Mode,0.18
1,2,Mode,0.36
1,3,Mode,0.10
1,4,Mode,0.06
1,5,Mode,0.14
1,6,Mode,0.18
1,7,Mode,0.00
1,8,Mode,0.14
1,9,Mode,0.31
2,3,Mode,0.20
2,4,Mode,0.06
2,5,Mode,0.00
2,6,Mode,0.19
2,7,Mode,0.29
2,8,Mode,0.00
2,9,Mode,0.16
3,4,Mode,0.02
3,5,Mode,0.14
3,6,Mode,0.31
3,7,Mode,0.24
3,8,Mode,0.15
3,9,Mode,0.26
4,5,Mode,0.16
4,6,Mode,0.07
4,7,Mode,0.07
4,8,Mode,0.12
4,9,Mode,0.05
5,6,Mode,0.22
5,7,Mode,0.07
5,8,Mode,0.28
5,9,Mode,0.26
6,7,Mode,0.44
6,8,Mode,0.21
6,9,Mode,0.24
7,8,Mode,0.21
7,9,Mode,0.00
8,9,Mode,0.12
0,1,Speechiness,0.50
0,2,Speechiness,0.28
0,3,Speechiness,0.47
0,4,Speechiness,0.12
0,5,Speechiness,0.18
