Playlist A, Playlist B, Feature, Cosine Similarity
9,12,Popularity,0.71
9,13,Popularity,0.30
9,14,Popularity,0.55
10,11,Popularity,0.74
10,12,Popularity,0.87
10,13,Popularity,0.44
10,14,Popularity,0.77
11,12,Popularity,0.67
11,13,Popularity,0.48
11,14,Popularity,0.79
12,13,Popularity,0.38
12,14,Popularity,0.74
13,14,Popularity,0.45
0,1,Danceability,0.48
0,2,Danceability,0.75
0,3,Danceability,0.59
0,4,Danceability,0.68
0,5,Danceability,0.65
0,6,Danceability,0.43
0,7,Danceability,0.63
0,8,Danceability,0.42
0,9,Danceability,0.45
0,10,Danceability,0.66
0,11,Danceability,0.69
0,12,Danceability,0.56
0,13,Danceability,0.70
0,14,Danceability,0.73
1,2,Danceability,0.37
1,3,Danceability,0.77
1,4,Danceability,0.71
1,5,Danceability,0.33
1,6,Danceability,0.83
1,7,Danceability,0.74
1,8,Danceability,0.78
1,9,Danceability,0.89
1,10,Danceability,0.80
1,11,Danceability,0.71
1,12,Danceability,0.85
1,13,Danceability,0.34
1,14,Danceability,0.66
2,3,Danceability,0.46
2,4,Danceability,0.52
2,5,Danceability,0.81
2,6,Danceability,0.33
2,7,Danceability,0.50
2,8,Danceability,0.33
2,9,Danceability,0.35
2,10,Danceability,0.49
2,11,Danceability,0.52
2,12,Danceability,0.43
2,13,Danceability,0.87
2,14,Danceability,0.54
3,4,Danceability,0.85
3,5,Danceability,0.38
3,6,Danceability,0.69
3,7,Danceability,0.88
3,8,Danceability,0.65
3,9,Danceability,0.76
3,10,Danceability,0.93
3,11,Danceability,0.86
3,12,Danceability,0.90
3,13,Danceability,0.43
3,14,Danceability,0.78
4,5,Danceability,0.44
4,6,Danceability,0.62
4,7,Danceability,0.94
4,8,Danceability,0.58
4,9,Danceability,0.67
4,10,Danceability,0.89
4,11,Danceability,0.97
4,12,Danceability,0.82
4,13,Danceability,0.46
4,14,Danceability,0.89
5,6,Danceability,0.27
5,7,Danceability,0.42
5,8,Danceability,0.28
5,9,Danceability,0.30
5,10,Danceability,0.42
5,11,Danceability,0.45
5,12,Danceability,0.38
5,13,Danceability,0.87
5,14,Danceability,0.49
6,7,Danceability,0.64
6,8,Danceability,0.89
6,9,Danceability,0.91
6,10,Danceability,0.70
6,11,Danceability,0.62
6,12,Danceability,0.73
6,13,Danceability,0.30
6,14,Danceability,0.57
7,8,Danceability,0.60
7,9,Danceability,0.71
7,10,Danceability,0.89
7,11,Danceability,0.94
7,12,Danceability,0.85
7,13,Danceability,0.45
7,14,Danceability,0.85
8,9,Danceability,0.84
8,10,Danceability,0.67
8,11,Danceability,0.59
8,12,Danceability,0.70
8,13,Danceability,0.30
8,14,Danceability,0.54
9,10,Danceability,0.76
