playlist a,playlist b,common artists, unique artists
"barbie_the_movie_vibes","studying_like_oppenheimer_MaxColannino",0,126
"barbie_the_movie_vibes","oppenheimer_vibes_YirnickvanDijk",0,73
"barbie_the_movie_vibes","now_i_have_become_death_the_destroyer_of_words_EastPermianFederation",0,74
"barbie_the_movie_vibes","oppenheimer_vibes_SUGABUSH",0,84
"barbie_the_movie_vibes","now_i_am_become_death_the_destroyer_of_worlds_Eren",0,114
"barbie_the_movie_vibes","oppenheimer_Nadia",0,88
"barbie_the_movie_vibes","oppenheimer_vibes_PetroAlexiou",1,77
"barbie_the_movie_vibes","oppenheimer_vibes_raziqsafri",0,74
"barbie_the_movie_vibes","oppenheimer_vibes_Dugger",0,95
"barbie_the_movie_vibes","oppenheimer_vibes_Sorenjc",1,92
"barbie_the_movie_vibes","oppenheimer_vibes_Athlaros",0,92
"barbie_the_movie_vibes","oppenheimer_-_a_study_playlist",0,82
"barbie_playlist","im_a_barbie_girl_in_a_barbie_world_nicole<3",10,79
"barbie_playlist","barbie_vibes_",4,81
"barbie_playlist","what_was_i_made_for",1,65
"barbie_playlist","girly_barbie_vibes_",4,78
"barbie_playlist","im_a_barbie_girl_in_a_barbie_world_sukuna",10,232
"barbie_playlist","barbie_can_you_play_ken",1,58
"barbie_playlist","barbie_vibes",9,147
"barbie_playlist","🌷🎀_Barbie_Vibes_🛼🌸",11,160
"barbie_playlist","what_was_i_made_for_type_of_sad",1,59
"barbie_playlist","barbie_movie_vibes_2023",8,85
"barbie_playlist","beverly_hills_barbenheimer",0,80
"barbie_playlist","💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana",3,162
"barbie_playlist","barbenheimer💅💣_Aobambi",1,64
"barbie_playlist","barbenheimer_Marianna",4,126
"barbie_playlist","summer_of_barbenheimer",3,104
"barbie_playlist","barbenheimer_Dee&FromZimbabwe",2,57
"barbie_playlist","barbenheimerrr💕💥_daisyrain323&others",11,157
"barbie_playlist","barbenheimer_satiahatami",5,109
"barbie_playlist","barbenheimer_jsobo",6,235
"barbie_playlist","barbenheimer_Vanessasapinheiro&RennieKeller",7,119
"barbie_playlist","barbenheimer_JessicaKoebelMillen",8,107
"barbie_playlist","barbenheimer_MrMario",3,100
"barbie_playlist","barbenheimer_hoe_down",7,107
"barbie_playlist","barbenheimer_cody",1,60
"barbie_playlist","barbenheimer_Sam Telford",7,96
"barbie_playlist","i_am_literally_oppenheimer__i_am_a_girl_",0,70
"barbie_playlist","oppenheimer_Ben",1,129
"barbie_playlist","an_oppenheimer_playlist",0,49
"barbie_playlist","now_i_am_become_death_the_destroyer_of_worlds_Marissa",0,83
"barbie_playlist","studying_like_oppenheimer_MaxColannino",0,106
