artists,occurrence,freqency
"Marcin Przybyłowicz,Mikołaj Stroiński,AUKSO Orchestra",5,0.029940
"Marcin Przybyłowicz,Mikołaj Stroiński,AUKSO Orchestra,Percival Schuttenbach",4,0.023952
"Mikolai Stroinski",214,1.281437
"Marcin Przybyłowicz",169,1.011976
"Inon Zur",219,1.311377
"Daniel Pemberton",17,0.101796
"Bear McCreary",89,0.532934
"P.T. Adamczyk",29,0.173653
"Ramin Djawadi",105,0.628743
"Nao Sato",4,0.023952
"Adam Skorupa,Krzysztof Wierzynkiewicz",61,0.365269
"Gareth Coker",39,0.233533
"Travis Savoie",14,0.083832
"SIE Sound Team",64,0.383234
"Borislav Slavov",77,0.461078
"Jeremy Soule",198,1.185629
"Trevor Morris",229,1.371257
"David Grimes",1,0.005988
"Doug Wood",5,0.029940
"Justin Bell",136,0.814371
"Jason Hayes",31,0.185629
"Brad Derrick",228,1.365269
"EA Games Soundtrack",2,0.011976
"Kevin MacLeod",183,1.095808
"Midnight Syndicate",96,0.574850
"Samuel Laflamme",11,0.065868
"Colin Stetson",3,0.017964
"Yuka Kitamura",8,0.047904
"Gustavo Santaolalla",34,0.203593
"Russell Brower,Derek Duke,Jeremy Soule",2,0.011976
"Mikko Tarmia",31,0.185629
"Jami Sieber",2,0.011976
"Derek Duke",29,0.173653
"Brian Tyler,Klaus Badelt",2,0.011976
"Daniel Ran",16,0.095808
"Stuart Chatwood",52,0.311377
"Wilbert Roget, II",1,0.005988
"Tai Tomisawa",6,0.035928
"Alex Roe",38,0.227545
"Jesper Kyd",57,0.341317
"Gustav Holst,Walter Susskind,St. Louis Symphony",1,0.005988
"Christopher Larkin",12,0.071856
"Adrian Von Ziegler",56,0.335329
"Alexander Rollins",1,0.005988
"Wolfgang Amadeus Mozart,David Parry,London Philharmonic Orchestra,London Philharmonic Choir",1,0.005988
"Jessica Curry",46,0.275449
"Two Steps from Hell",2,0.011976
"Johan Söderqvist",1,0.005988
"Piotr Musiał",42,0.251497
"Dreyma",3,0.017964
"Russell Shaw",77,0.461078
"Jason Graves",186,1.113772
"Joel Corelitz,Jeff Russo",1,0.005988
"Atrium Carceri",49,0.293413
"Atrium Carceri,Cities Last Broadcast",3,0.017964
"Austin Wintory",162,0.970060
"Ryan Amon,Alex Roe",1,0.005988
"Motoi Sakuraba,Alex Roe",1,0.005988
"TPR",3,0.017964
"Shoi Miyazawa,Alex Roe",1,0.005988
"Leo Kaliski",3,0.017964
"Solas Composer",1,0.005988
"Olivier Deriviere",37,0.221557
"Morphia Productions,Horror Music",1,0.005988
"Mark Korven",3,0.017964
"Hans Zimmer",43,0.257485
"Dark Fantasy Studio",1,0.005988
"David Arkenstone,Jason Hayes",3,0.017964
"Howard Shore",27,0.161677
"Richard Armitage,The Dwarf Cast",1,0.005988
"David Arkenstone",21,0.125749
"The Dwarf Cast",1,0.005988
"Raney Shockne,Elizaveta,Nick Stoubis",1,0.005988
"Russell Brower,Laurence Juber,Matt Uelmen",4,0.023952
"Sieber, Kammen, Fulton and Schatz",5,0.029940
"Don McLean",1,0.005988
"Pawel Blaszczak",34,0.203593
"Marcin Przybyłowicz,Percival Schuttenbach",14,0.083832
"Dominik Hauser",2,0.011976
"Krzysztof Wierzynkiewicz",55,0.329341
"Adam Skorupa",54,0.323353
"Glenn Stafford",7,0.041916
"James Horner,London Symphony Orchestra",19,0.113772
"FlyByNo",46,0.275449
"Russell Brower",18,0.107784
"David Arkenstone,Sam Cardon",1,0.005988
"Matt Uelmen",11,0.065868
"Tracy Bush",3,0.017964
"Russell Brower,Brian David Farr",2,0.011976
"Samuel Sim",2,0.011976
"Jason Miller and Samuel Riegel,Celestial Aeon Project",1,0.005988
"Christine Slagman",3,0.017964
"Justin E. Bell",83,0.497006
"EA Games Soundtrack,Inon Zur",43,0.257485
"Harry Gregson-Williams",45,0.269461
"Elitsa Alexandrova,Assassin's Creed",37,0.221557
"Jesper Kyd,Assassin's Creed",68,0.407186
"Gustavo Santaolalla,Alan Umstead",8,0.047904
"Martin O'Donnell,Michael Salvatori",3,0.017964
"Lorne Balfe,Assassin's Creed",59,0.353293
"Brian Tyler,Assassin's Creed",19,0.113772
"Cliff Martinez",19,0.113772
"Rik Schaffer",11,0.065868
"Taylor Davis",9,0.053892
"Gareth Coker,Aeralie Brighton",8,0.047904
"Gareth Coker,Rachel Mellis",3,0.017964
"Joris de Man",33,0.197605
"Zoe Mthiyane,Rupert Gregson-Williams",2,0.011976
"Rupert Gregson-Williams",20,0.119760
"Henry Jackman",45,0.269461
"Derek Fiechter,Brandon Fiechter",43,0.257485
"Ted Reedy",4,0.023952
"The Newton Brothers",5,0.029940
"Jeff Russo",3,0.017964
"Osi And The Jupiter",3,0.017964
"L'Orchestra Cinematique",1,0.005988
"David García Díaz",15,0.089820
"Brad Derrick,Rik Schaffer",6,0.035928
"Basil Poledouris",2,0.011976
"Jeremiah Pena",12,0.071856
"Eric Whitacre,Royal Philharmonic Orchestra,Eric Whitacre Singers,Virtual Choir 5",2,0.011976
"The Versions",2,0.011976
"Michael Salvatori,C Paul Johnson,Martin O'Donnell,Paul McCartney",15,0.089820
"Frida Johansson,Henrik Oja",26,0.155689
"Takeshi Furukawa",6,0.035928
"Joanna Pena",3,0.017964
"Joe Hisaishi",1,0.005988
"Evan Kale",1,0.005988
"Paradox Interactive",128,0.766467
"Ilan Eshkeri,London Metropolitan Orchestra,Andy Brown",4,0.023952
"Kevin Riepl",37,0.221557
"Philip Glass,Kronos Quartet",4,0.023952
"Junkie XL",38,0.227545
"Russell Brower,Glenn Stafford",2,0.011976
"Ambient Realms",39,0.233533
"Nox Arcana",66,0.395210
