artists,occurrence,freqency
"Philip Wareborn,Paradox Interactive",3,0.300000
"Andrew Prahlow",1,0.100000
"Nicolas Snyder",6,0.600000
"Nicolas Snyder,Rowan Katz",1,0.100000
"Takeshi Furukawa",1,0.100000
"Brad Derrick,Jeremy Soule",1,0.100000
"ConcernedApe",2,0.200000
"Agnes Obel",1,0.100000
"Crouch End Festival Chorus,London Philharmonic Orchestra",1,0.100000
"Jesper Kyd,Assassin's Creed",1,0.100000
"Gareth Coker,Aeralie Brighton",3,0.300000
"Rachel Rose Mitchell",1,0.100000
"Cœur De Pirate",5,0.500000
"Gareth Coker,Rachel Mellis",1,0.100000
"Alexander Forselius,Dr. Sounds",1,0.100000
"Erasmus Talbot",5,0.500000
"Vincent Diamante",1,0.100000
"Lorenzo Masini,Palatino87",1,0.100000
"Rik Schaffer,Brad Derrick",1,0.100000
"Matt Uelmen",2,0.200000
"Black & White Knight",1,0.100000
"Denny Schneidemesser",1,0.100000
"Jóhann Jóhannsson",1,0.100000
"Disasterpeace",1,0.100000
"KK & The Steampunk Orchestra",1,0.100000
"Locust Toybox",1,0.100000
"Peter Gregson,Warren Zielinski,Magdalena Filipczak,Laurie Anderson,Richard Harwood",1,0.100000
"Joris de Man,The Flight",1,0.100000
"Jessica Curry",3,0.300000
"Echo Grid",1,0.100000
"Damjan Mravunac",1,0.100000
"Daft Punk",1,0.100000
"Artesia",1,0.100000
"Eldamar",1,0.100000
"Brique a Braq",3,0.300000
"August Wilhelmsson",2,0.200000
"Night Raptor",1,0.100000
"Piotr Musial",1,0.100000
"John Stanford",2,0.200000
"Neal Acree",4,0.400000
"Lasse Enersen",3,0.300000
"Maclaine Diemer",2,0.200000
"Pascal Michael Stiefel",1,0.100000
"Manaberry",1,0.100000
"Antti Martikainen",1,0.100000
"Northwestern University Symphonic Wind Ensemble",1,0.100000
"Bear McCreary,Eivør",1,0.100000
"Rick Clark,London Music Works",1,0.100000
"Yoann Laulan",1,0.100000
"The Flight,Assassin's Creed,Mike Georgiades",2,0.200000
"The Flight,Assassin's Creed",2,0.200000
"Motoi Sakuraba",2,0.200000
"Glenn Stafford,Neal Acree,Sam Cardon,David Arkenstone,Clint Bajakian,Jason Hayes",1,0.100000
"Ataraxia,Mort Garson",1,0.100000
"Russell Brower,Neal Acree,Sam Cardon,Edo Guidotti,Jeremy Soule,Derek Duke",1,0.100000
"Max LL",1,0.100000
"Vitamin String Quartet",1,0.100000
"Olivier Deriviere",1,0.100000
"Czech Philharmonic Chamber Orchestra & Kuehn's Mixed Choir",1,0.100000
"Grant Kirkhope",2,0.200000
"Dario Marianelli,Jack Liebeck,Benjamin Wallfisch",1,0.100000
"Zhenlan Kang",1,0.100000
"Henry Jackman",1,0.100000
"Junkie XL",1,0.100000
"Kyle Hnedak",1,0.100000
"Alex Roe",1,0.100000
"Tsukasa Saito,Yuka Kitamura",1,0.100000
"Anne Dudley",1,0.100000
"Ciaran Hope",1,0.100000
"Sam Cardon,Russell Brower",1,0.100000
"Glenn Stafford",1,0.100000
"David Arkenstone,Glenn Stafford,Leo Kaliski",1,0.100000
"SIE Sound Team",1,0.100000
"Doug Wood",1,0.100000
"Russell Brower,Sam Cardone",1,0.100000
"Tracy Bush",1,0.100000
"David Arkenstone",1,0.100000
"Neal Acree,Sam Cardon",1,0.100000
"Howard Shore & Tara Scammell",1,0.100000
"Neal Acree,Jason Hayes",1,0.100000
"Russell Brower,Derek Duke",2,0.200000
"Percival Schuttenbach,Marcin Przybyłowicz",1,0.100000
"Russell Brower, Neal Acree, Clint Bajakian, Sam Cardon, Craig Stuart Garfinkle, Edo Guidotti & Eimear Noone",1,0.100000
"Russell Brower,Derek Duke,Jeremy Soule",1,0.100000
"Russell Brower,Neal Acree",1,0.100000
"Neal Acree,Russell Brower",1,0.100000
"Russell Brower,Neal Acree,Sam Cardon,Glenn Stafford,Edo Guidotti,Jason Hayes",1,0.100000
"The Dwarf Cast & Richard Armitage",1,0.100000
"Howard Shore & Helen Hobson",1,0.100000
"Marcin Przybylowicz",1,0.100000
"Trevor Morris,Raney Shockne,Freya Catherine",1,0.100000
