artists,occurrence,freqency
"Keri Hilson",5,0.113636
"Saweetie",7,0.159091
"Nicki Minaj,Rihanna",1,0.022727
"Beyoncé",23,0.522727
"Nicki Minaj,Drake",2,0.045455
"The Pussycat Dolls",9,0.204545
"Shakira,Wyclef Jean",6,0.136364
"Gwen Stefani,Akon",4,0.090909
"Christina Aguilera",4,0.090909
"Avril Lavigne",5,0.113636
"Lil Mama",3,0.068182
"The Pussycat Dolls,Busta Rhymes",5,0.113636
"Rihanna,JAY-Z",3,0.068182
"Rihanna,Drake",3,0.068182
"Kesha",13,0.295455
"Fergie",4,0.090909
"Azealia Banks",2,0.045455
"Nelly Furtado",8,0.181818
"Destiny's Child,T.I.,Lil Wayne",1,0.022727
"Fergie,Ludacris",7,0.159091
"Gwen Stefani,Eve",4,0.090909
"Kelly Clarkson",2,0.045455
"SZA",10,0.227273
"FKA twigs",1,0.022727
"Lucy Dacus",1,0.022727
"Katie Gregson-MacLeod",2,0.045455
"The National,Taylor Swift",1,0.022727
"Florence + The Machine",2,0.045455
"Zeph",1,0.022727
"Lennon Stella",1,0.022727
"Kacey Musgraves",4,0.090909
"Maisie Peters",2,0.045455
"NIKI",1,0.022727
"Phoebe Bridgers,Noah Gundersen,Abby Gundersen",1,0.022727
"RuPaul",5,0.113636
"Ariana Grande,Miley Cyrus,Lana Del Rey",1,0.022727
"Fergie,will.i.am",4,0.090909
"Kat Deluna,Elephant Man",1,0.022727
"LMFAO",1,0.022727
"Beyoncé,JAY-Z",2,0.045455
"SAYGRACE,G-Eazy",1,0.022727
"Sam Smith,Normani",1,0.022727
"Natasha Bedingfield",4,0.090909
"M.I.A.",6,0.136364
"Black Eyed Peas",12,0.272727
"Mariah Carey",7,0.159091
"Jennifer Lopez,Iggy Azalea",1,0.022727
"Cher",2,0.045455
"Whitney Houston,Chris Cox,Barry Harris",1,0.022727
"Scissor Sisters",3,0.068182
"Cardi B",11,0.250000
"Nicola Fasano,Pat-Rich",1,0.022727
"Monique Heart",1,0.022727
"Alexandra Stan",2,0.045455
"The Bucketheads",1,0.022727
"Charli xcx,Billie Eilish",1,0.022727
"Saucy Santana",1,0.022727
"Chappell Roan",17,0.386364
"CeCe Peniston",1,0.022727
"Jogger,Keenhouse",1,0.022727
"Troye Sivan",5,0.113636
"Janet Jackson",1,0.022727
"Lil Nas X,Doja Cat",2,0.045455
"Doja Cat,Gucci Mane",3,0.068182
"Cardi B,Megan Thee Stallion",4,0.090909
"Jessie J,Ariana Grande,Nicki Minaj",5,0.113636
"Lady Gaga,Beyoncé",2,0.045455
"Calvin Harris,Dua Lipa",2,0.045455
"Katy Perry,Nicki Minaj",1,0.022727
"Billy Porter",1,0.022727
"Salt-N-Pepa",3,0.068182
"Ariana Grande,Nicki Minaj",1,0.022727
"AlunaGeorge",1,0.022727
"Whitney Houston",4,0.090909
"Technotronic",1,0.022727
"Megan Thee Stallion",17,0.386364
"Haddaway",1,0.022727
"Kelly Rowland,Eve",3,0.068182
"Eve",3,0.068182
"High School Musical Cast,Ashley Tisdale,Lucas Grabeel,Disney",1,0.022727
"Selena Gomez & The Scene",3,0.068182
"Nelly Furtado,Timbaland",7,0.159091
"Timbaland,Keri Hilson,D.O.E.",4,0.090909
"City Girls",2,0.045455
"Cardi B,SZA",1,0.022727
"Bhad Bhabie,Kodak Black",1,0.022727
"Megan Thee Stallion,DaBaby",1,0.022727
"Nicki Minaj,Beyoncé",1,0.022727
"Cardi B,YG",1,0.022727
"Cardi B,21 Savage",1,0.022727
"Ariana Grande,Victoria Monét",1,0.022727
"TLC",5,0.113636
"Missy Elliott",4,0.090909
"Tinashe,ScHoolboy Q",1,0.022727
"Pretty Taking All Fades",1,0.022727
"Kehlani",1,0.022727
"SZA,Travis Scott",1,0.022727
"Madison Beer,Offset",1,0.022727
"Janelle Monáe",5,0.113636
"Lady Leshurr",1,0.022727
"Demi Lovato,Cher Lloyd",1,0.022727
"Star Cast",2,0.045455
"Maggie Lindemann",1,0.022727
"Nicki Minaj,Drake,Lil Wayne,Chris Brown",1,0.022727
"Beyoncé,The Weeknd",1,0.022727
"Beyoncé,Chimamanda Ngozi Adichie",1,0.022727
"Beyoncé,Nicki Minaj",1,0.022727
"Star Cast,Jude Demorest",1,0.022727
"Doja Cat,Rico Nasty",3,0.068182
"Kelly Rowland",2,0.045455
"Cardi B,Bad Bunny,J Balvin",3,0.068182
"N.E.R.D,Rihanna",1,0.022727
"Cardi B,Bruno Mars",1,0.022727
"Nicki Minaj,Ariana Grande",1,0.022727
"Flo Milli",8,0.181818
"Saweetie,GALXARA",1,0.022727
"Doja Cat,Tyga",1,0.022727
"Mýa,Tink",1,0.022727
"Normani",3,0.068182
"Ciara,Chamillionaire",1,0.022727
"Saweetie,Doja Cat",2,0.045455
"Ashnikko,Princess Nokia",2,0.045455
"Normani,Cardi B",1,0.022727
"Chlöe",1,0.022727
"Lil Nas X",4,0.090909
"Lizzo,Cardi B",1,0.022727
"Chloe x Halle",3,0.068182
"Lil Nas X,Jack Harlow",3,0.068182
"Doja Cat,The Weeknd",1,0.022727
"Mýa",1,0.022727
"Eve,Gwen Stefani",1,0.022727
"Blu Cantrell",1,0.022727
"Ciara,Missy Elliott",1,0.022727
"702",1,0.022727
"Amerie",1,0.022727
"Ciara,Petey Pablo",1,0.022727
"Monica",1,0.022727
"Keyshia Cole",2,0.045455
"Keri Hilson,J. Cole",1,0.022727
"Toni Braxton",1,0.022727
"Christina Milian",1,0.022727
"Tweet,Missy Elliott",1,0.022727
"Ciara,Ludacris",1,0.022727
"Teyana Taylor",1,0.022727
"Lil' Kim,Angie Martinez,Lisa Left Eye Lopes,Da Brat,Missy Elliott",1,0.022727
"Sunshine Anderson",1,0.022727
"Amerie,Eve",1,0.022727
"Nicole,Missy Elliott,mocha",1,0.022727
"Danity Kane",1,0.022727
"Lil' Kim",1,0.022727
"Missy Elliott,Ludacris",1,0.022727
"Missy Elliott,Da Brat",1,0.022727
"3LW",1,0.022727
"Kelis,Too $hort",1,0.022727
"StarBoi3,Doja Cat",1,0.022727
"Bebe Rexha,Nicki Minaj",1,0.022727
"Jazmine Sullivan",2,0.045455
"Star Cast,Ryan Destiny",1,0.022727
"Summer Walker,JT,City Girls",1,0.022727
"JoJo",1,0.022727
"Summer Walker,Cardi B",1,0.022727
"Mary J. Blige",1,0.022727
"Megan Thee Stallion,SZA",1,0.022727
"Cardi B,Migos",1,0.022727
"BIA",2,0.045455
"Ariana Grande,Doja Cat",2,0.045455
"Ariana Grande,Doja Cat,Megan Thee Stallion",1,0.022727
"Saucy Santana,City Girls",1,0.022727
"Summer Walker",1,0.022727
"Summer Walker,SZA",1,0.022727
"Summer Walker,Pharrell Williams,The Neptunes",1,0.022727
"Remy Ma",1,0.022727
"P!nk",5,0.113636
"Aaliyah,Timbaland",1,0.022727
"Kayla Nicole,Taylor Girlz",1,0.022727
