artists,occurrence,freqency
"10cc",2,0.008439
"The Jackson 5",7,0.029536
"Black Sabbath",3,0.012658
"ABBA",34,0.143460
"Fontaines D.C.",2,0.008439
"The Buggles",1,0.004219
"Gunter Kallmann Choir",2,0.008439
"Radiohead",11,0.046414
"Gabriella Cilmi",2,0.008439
"Rancore,DJ Myke",1,0.004219
"Avril Lavigne",30,0.126582
"slowthai",1,0.004219
"Gorillaz,Bad Bunny",1,0.004219
"MGMT",17,0.071730
"Ruth Radelet",1,0.004219
"Shura",1,0.004219
"Arctic Monkeys",27,0.113924
"Kali Uchis",6,0.025316
"Pippo Sowlo",1,0.004219
"Sonic Youth",1,0.004219
"black midi",1,0.004219
"Frank Ocean",36,0.151899
"Chet Baker",1,0.004219
"Lesley Gore",3,0.012658
"Mike Oldfield",4,0.016878
"PinkPantheress",11,0.046414
"The Soft Moon",1,0.004219
"Coma_Cose",1,0.004219
"Yung Snapp,Lele Blade,Icy Subzero",1,0.004219
"Diaframma",1,0.004219
"Turnstile",1,0.004219
"Taeko Onuki",1,0.004219
"Bon Iver",6,0.025316
"Beyoncé",44,0.185654
"Foo Fighters",14,0.059072
"The Ronettes",3,0.012658
"The Doors",4,0.016878
"The Bangles",4,0.016878
"Makka Pinkelton",1,0.004219
"Tonno",1,0.004219
"Frank Sinatra,Nancy Sinatra",1,0.004219
"X Ambassadors",3,0.012658
"MUNA,Phoebe Bridgers",3,0.012658
"The Fray",14,0.059072
"Alice In Chains",2,0.008439
"Bob Sinclar,Raffaella Carrà",1,0.004219
"Sarah Cothran",3,0.012658
"Ecco2k,Bladee",1,0.004219
"Antonello Venditti",1,0.004219
"Ambra Angiolini",1,0.004219
"Verdena",2,0.008439
"Enzo Dong,Franco Ricciardi,Deborah de Luca",1,0.004219
"Elio e le Storie Tese",1,0.004219
"The Cure",4,0.016878
"David Bowie",11,0.046414
"Paramore",27,0.113924
"Philip Glass",1,0.004219
"Opa Tsupa",1,0.004219
"Riviera",1,0.004219
"Coyote Kisses",1,0.004219
"M83",12,0.050633
"The Velvet Underground,Nico",1,0.004219
"Renato Zero",1,0.004219
"Grian Chatten",1,0.004219
"NewJeans",1,0.004219
"The Smile",1,0.004219
"KH",1,0.004219
"Bob Dylan",12,0.050633
"Roy Orbison",4,0.016878
"Arcade Fire",4,0.016878
"Veeble",1,0.004219
"Bring Me The Horizon",1,0.004219
"COIN",5,0.021097
"Vance Joy",26,0.109705
"WALK THE MOON",7,0.029536
"Dominic Fike",19,0.080169
"Aminé",9,0.037975
"MIYAVI,Duckwrth",1,0.004219
"JVKE",11,0.046414
"Hailee Steinfeld,Anderson .Paak",1,0.004219
"Jamie Miller",1,0.004219
"The All-American Rejects",16,0.067511
"Neon Trees",12,0.050633
"almost monday",4,0.016878
"Two Friends,FITZ",1,0.004219
"Felix Hagan & the Family",1,0.004219
"Sub-Radio",1,0.004219
"Mac Miller,The Temper Trap",3,0.012658
"lovelytheband",5,0.021097
"Soft Cell",4,0.016878
"Counting Crows",7,0.029536
"Saint Motel",6,0.025316
"Childish Gambino",14,0.059072
"Jukebox The Ghost",2,0.008439
"Lit",3,0.012658
"Justice",3,0.012658
"Glass Animals",7,0.029536
"bbno$,Rich Brian",1,0.004219
"Glass Animals,iann dior",2,0.008439
"Gnarls Barkley",5,0.021097
"Baby Keem,Kendrick Lamar",3,0.012658
"THE DRIVER ERA",2,0.008439
"Tom Petty and the Heartbreakers",1,0.004219
"Thin Lizzy",3,0.012658
"Boston",3,0.012658
"The Monkees",4,0.016878
"The Black Keys",9,0.037975
"Caesars",2,0.008439
"Steve Miller Band",5,0.021097
"Clans",1,0.004219
"Earl St. Clair",1,0.004219
"Curtis Harding",1,0.004219
"Girl Talk",1,0.004219
"George Ezra",10,0.042194
"Chris James",1,0.004219
"Go-Jo",1,0.004219
"Post Malone",23,0.097046
"Jenna Raine",1,0.004219
"Dylan,Bastille",1,0.004219
"Ripe",1,0.004219
"Bastille",12,0.050633
"lovelytheband,blackbear",1,0.004219
"Mark Ambor",6,0.025316
"Waka Flocka Flame,Roscoe Dash,Wale",4,0.016878
"Tory Lanez,Trippie Redd,Yoko Gold",4,0.016878
"Baby Keem",2,0.008439
"Eurythmics,Annie Lennox,Dave Stewart",5,0.021097
"Des Rocs",1,0.004219
"The Struts,Kesha",1,0.004219
"Opia",1,0.004219
"Max Wassen",1,0.004219
"Hoku",6,0.025316
"Nirvana",13,0.054852
"Apollo Sunshine",2,0.008439
"Apparat,Soap&Skin",1,0.004219
"Madonna",28,0.118143
"Fever Ray",1,0.004219
"Fred Neil",2,0.008439
"Little Mix",16,0.067511
"Moby,Mimi Goese",2,0.008439
"Kim Petras",5,0.021097
"Nick Cave & The Bad Seeds",3,0.012658
"Carly Rae Jepsen",15,0.063291
"Nicki Minaj,Ice Spice,Aqua",14,0.059072
"Doja Cat",52,0.219409
"Fall Out Boy",22,0.092827
"Kanye West",34,0.143460
"Drew Seeley",1,0.004219
"Miley Cyrus",47,0.198312
"Dreamville,Bas,JID,Guapdad 4000,Reese LAFLARE,Jace,Mez,Smokepurpp,Buddy,Ski Mask The Slump God",1,0.004219
"Ed Sheeran",35,0.147679
"Jess Bays,Poppy Baskcomb",1,0.004219
"Bad Bunny",9,0.037975
"Tame Impala",17,0.071730
"J Balvin,Bad Bunny,Mr Eazi",1,0.004219
"JID,21 Savage,Baby Tate",1,0.004219
"Diplo,SIDEPIECE",2,0.008439
"ACRAZE,Cherish",1,0.004219
"Rockwell",2,0.008439
"Sisqo",1,0.004219
"Three 6 Mafia",3,0.012658
"SZA",50,0.210970
"Nelly Furtado",17,0.071730
"Gwen Stefani,Akon",8,0.033755
"Justin Timberlake",22,0.092827
"Justin Timberlake,T.I.",3,0.012658
"SZA,Calvin Harris,Funk Wav",2,0.008439
"Justin Timberlake,Timbaland",6,0.025316
"The Weeknd,Ariana Grande",1,0.004219
"Nelly",10,0.042194
"Rihanna,JAY-Z",14,0.059072
"Owl City,Carly Rae Jepsen",5,0.021097
"Shakira,Wyclef Jean",13,0.054852
"Pitbull",10,0.042194
"Sean Paul",13,0.054852
"Nina Sky,Jabba",1,0.004219
"Daddy Yankee",6,0.025316
"Pitbull,T-Pain",2,0.008439
"David Guetta,Akon",4,0.016878
"Cobra Starship,Sabi",6,0.025316
"N.O.R.E.,Daddy Yankee,Nina Sky,Gemstar,Big Mato",1,0.004219
"Pitbull,Lil Jon",1,0.004219
"Timbaland,Keri Hilson,D.O.E.",9,0.037975
"David Guetta,Flo Rida,Nicki Minaj",8,0.033755
"Timbaland,Justin Timberlake,Nelly Furtado",3,0.012658
"Rihanna,Elephant Man",1,0.004219
"Flo Rida,David Guetta",8,0.033755
"Mac Miller,Empire Of The Sun",4,0.016878
"Amanda Seyfried,Ashley Lilley,Rachel McDowall",4,0.016878
"Cast of Mamma Mia! The Movie,Philip Michael,Christine Baranski,Julie Walters,Stellan Skarsgård",3,0.012658
"Dominic Cooper,Amanda Seyfried",2,0.008439
"Fergie,YG",1,0.004219
"Jennifer Lopez,Pitbull",9,0.037975
"will.i.am,Britney Spears",6,0.025316
"J. Cole",13,0.054852
"Rae Sremmurd",5,0.021097
"Soulja Boy,Sammie",6,0.025316
"Outkast",24,0.101266
"TLC",15,0.063291
"Destiny's Child",24,0.101266
"Lil Uzi Vert",7,0.029536
"Doja Cat,Rico Nasty",3,0.012658
"Flo Milli",11,0.046414
"JAY-Z,Alicia Keys",5,0.021097
"Carrie Underwood",18,0.075949
"Coi Leray,DJ Smallz 732",2,0.008439
"Ariana Grande",121,0.510549
"Bad Bunny,El Alfa",2,0.008439
"Bad Bunny,Chencho Corleone",2,0.008439
"Bad Bunny,JHAYCO",3,0.012658
"El Alfa,El Cherry Scom,CJ",1,0.004219
"Arcángel,Bad Bunny",1,0.004219
"J Balvin,Willy William",4,0.016878
"Cardi B,Bad Bunny,J Balvin",7,0.029536
"Enur,Natasja",2,0.008439
"Black Eyed Peas,Anitta,El Alfa",1,0.004219
"Farruko",3,0.012658
"Farruko,Victor Cardenas,Dj Adoni",1,0.004219
"Disclosure,Sam Smith",6,0.025316
"Calvin Harris",13,0.054852
"Ariana Grande,Doja Cat",2,0.008439
"Tove Lo,Oliver Nelson",1,0.004219
"FISHER",3,0.012658
"TELYKAST,One True God",1,0.004219
"Imanbek,BYOR",1,0.004219
"LF SYSTEM,David Guetta,Dyro",1,0.004219
"S1mba,DTG,Joel Corry",1,0.004219
"James Hype,Miggy Dela Rosa",2,0.008439
"Tom Santa,Nathan Dawe",1,0.004219
"Jazzy",1,0.004219
"Matt Sassari,CHRSTPHR",1,0.004219
"La Roux,GAMPER & DADONI",2,0.008439
"Musique Boutique,KeeJay Freak",2,0.008439
"Bee Gees",22,0.092827
"Earth, Wind & Fire",9,0.037975
"The 1975",6,0.025316
"Nelly Furtado,Timbaland",12,0.050633
"J Balvin,Skrillex",2,0.008439
"Sir Mix-A-Lot",2,0.008439
"KAROL G,Aldo Ranks",6,0.025316
"Tiësto,Charli xcx",1,0.004219
"Petey Pablo",1,0.004219
"DaBaby",7,0.029536
"ROSALÍA",2,0.008439
"Eminem,Nate Dogg",2,0.008439
"Icandy",1,0.004219
"Ludacris,Nicki Minaj",1,0.004219
"Megan Thee Stallion",17,0.071730
"Pitbull,Ne-Yo",9,0.037975
"Pitbull,Chris Brown",4,0.016878
"Beyoncé,Kendrick Lamar",2,0.008439
"The Weeknd",31,0.130802
"Swedish House Mafia,The Weeknd",3,0.012658
"Aly & AJ",10,0.042194
"Bridgit Mendler",14,0.059072
"Sean Kingston",20,0.084388
"Flo Rida,T-Pain",8,0.033755
"Lady Gaga,Colby O'Donis",6,0.025316
"David Guetta,Bebe Rexha",2,0.008439
"Pop Smoke",5,0.021097
"El Alfa,CJ,Chael Produciendo,El Cherry Scom",1,0.004219
"Far East Movement,The Cataracs,DEV",8,0.033755
"Sofi Tukker",3,0.012658
"sped up nightcore",2,0.008439
"Muppet DJ,SECA Records",1,0.004219
"Mc Kitinho,DJ R7",1,0.004219
"USHER,Lil Jon,Ludacris",7,0.029536
"Eslabon Armado,Peso Pluma",1,0.004219
"Flo Rida",19,0.080169
"Cascada",10,0.042194
"Macklemore,Ryan Lewis,Macklemore & Ryan Lewis,Ray Dalton",10,0.042194
"Playboi Carti",18,0.075949
"Yeah Yeah Yeahs,A-Trak",3,0.012658
"Travis Scott",11,0.046414
"Travis Scott,HVME",1,0.004219
"Kid Cudi,MGMT,Ratatat",5,0.021097
"Troye Sivan",9,0.037975
"Kevin McKay,Start The Party,CAMPS,Jen Payne",1,0.004219
"Jain,Ian Asher",1,0.004219
"Vintage Culture,Zerky,Cherub",1,0.004219
"Nio Garcia,Casper Magico,Bad Bunny,Darell,Ozuna,Nicky Jam",2,0.008439
"Lee Cabrera,Kevin McKay,Bleech",1,0.004219
"LMFAO,Lil Jon",3,0.012658
"Jason Derulo,2 Chainz",5,0.021097
"Drake,Rick Ross",2,0.008439
"Endor",2,0.008439
"A$AP Ferg,Nicki Minaj",1,0.004219
"Lana Del Rey,Cedric Gervais",1,0.004219
"Gucci Mane,Bruno Mars,Kodak Black",2,0.008439
"Martin Solveig,Dragonette",1,0.004219
"Shakira",8,0.033755
"Edward Maya,Vika Jigulina",4,0.016878
"cassö,RAYE,D-Block Europe",2,0.008439
"Kendrick Lamar",18,0.075949
"J Balvin,USHER,DJ Khaled",1,0.004219
"Chief Keef",9,0.037975
"GetItDmac",1,0.004219
"Sheck Wes",5,0.021097
"Speaker Knockerz",2,0.008439
"Riton,Nightcrawlers,Mufasa & Hypeman,Mufasa,Dopamine",3,0.012658
"BlocBoy JB,Drake",2,0.008439
"Travis Porter,Tyga",2,0.008439
"Sage The Gemini,Iamsu!",2,0.008439
"Sage The Gemini",2,0.008439
"Meek Mill",2,0.008439
"Soulja Boy",8,0.033755
"Travis Porter",1,0.004219
"Tee Grizzley",2,0.008439
"Priceless Da Roc",1,0.004219
"Yo Gotti,Nicki Minaj",1,0.004219
"Cali Swag District",2,0.008439
"50 Cent",8,0.033755
"Migos",4,0.016878
"JAY-Z,Kanye West",8,0.033755
"Big Sean,E-40",3,0.012658
"TIKTOKNOW",1,0.004219
"Big Sean,Nicki Minaj",1,0.004219
"Drake",51,0.215190
"Lil Baby,Drake",1,0.004219
"Drake,Future,Young Thug",1,0.004219
"Saweetie",8,0.033755
"Lil Wayne,Drake",2,0.008439
"Mustard,Roddy Ricch",2,0.008439
"Chris Brown,Tyga",1,0.004219
"Chief Keef,50 Cent,Wiz Khalifa",2,0.008439
"F.L.Y. (Fast Life Yungstaz),Easton",1,0.004219
"D4L",3,0.012658
"Drake,Lil Wayne",2,0.008439
"Lil Wayne,Cory Gunz",1,0.004219
"A$AP Rocky,Skepta",4,0.016878
"Kodak Black",6,0.025316
"Kstylis",1,0.004219
