artists,occurrence,freqency
"10cc",1,0.066667
"The Jackson 5",1,0.066667
"Black Sabbath",2,0.133333
"ABBA",8,0.533333
"Fontaines D.C.",1,0.066667
"The Buggles",1,0.066667
"Gunter Kallmann Choir",1,0.066667
"Radiohead",4,0.266667
"Gabriella Cilmi",1,0.066667
"Rancore,DJ Myke",1,0.066667
"Avril Lavigne",1,0.066667
"slowthai",1,0.066667
"Gorillaz,Bad Bunny",1,0.066667
"MGMT",3,0.200000
"Ruth Radelet",1,0.066667
"Shura",1,0.066667
"Arctic Monkeys",4,0.266667
"Kali Uchis",1,0.066667
"Pippo Sowlo",1,0.066667
"Sonic Youth",1,0.066667
"black midi",1,0.066667
"Frank Ocean",1,0.066667
"Chet Baker",1,0.066667
"Lesley Gore",1,0.066667
"Mike Oldfield",2,0.133333
"PinkPantheress",4,0.266667
"The Soft Moon",1,0.066667
"Coma_Cose",1,0.066667
"Yung Snapp,Lele Blade,Icy Subzero",1,0.066667
"Diaframma",1,0.066667
"Turnstile",1,0.066667
"Taeko Onuki",1,0.066667
"Bon Iver",1,0.066667
"Beyoncé",5,0.333333
"Foo Fighters",1,0.066667
"The Ronettes",1,0.066667
"The Doors",1,0.066667
"The Bangles",2,0.133333
"Makka Pinkelton",1,0.066667
"Tonno",1,0.066667
"Frank Sinatra,Nancy Sinatra",1,0.066667
"X Ambassadors",1,0.066667
"MUNA,Phoebe Bridgers",2,0.133333
"The Fray",1,0.066667
"Alice In Chains",1,0.066667
"Bob Sinclar,Raffaella Carrà",1,0.066667
"Sarah Cothran",1,0.066667
"Ecco2k,Bladee",1,0.066667
"Antonello Venditti",1,0.066667
"Ambra Angiolini",1,0.066667
"Verdena",2,0.133333
"Enzo Dong,Franco Ricciardi,Deborah de Luca",1,0.066667
"Elio e le Storie Tese",1,0.066667
"The Cure",1,0.066667
"David Bowie",5,0.333333
"Paramore",2,0.133333
"Philip Glass",1,0.066667
"Opa Tsupa",1,0.066667
"Riviera",1,0.066667
"Coyote Kisses",1,0.066667
"M83",1,0.066667
"The Velvet Underground,Nico",1,0.066667
"Renato Zero",1,0.066667
"Grian Chatten",1,0.066667
"NewJeans",1,0.066667
"The Smile",1,0.066667
"KH",1,0.066667
"Bob Dylan",1,0.066667
"Roy Orbison",1,0.066667
