playlist a,playlist b,common tracks, unique tracks
"barbie_but_its_the_end_of_the_movie_and_youre_sad","barbie_the_movie_vibes",0,204
"barbie_but_its_the_end_of_the_movie_and_youre_sad","barbie_playlist",1,174
"barbie_but_its_the_end_of_the_movie_and_youre_sad","im_a_barbie_girl_in_a_barbie_world_nicole<3",1,214
"barbie_but_its_the_end_of_the_movie_and_youre_sad","barbie_vibes_",0,199
"barbie_but_its_the_end_of_the_movie_and_youre_sad","what_was_i_made_for",16,145
"barbie_but_its_the_end_of_the_movie_and_youre_sad","girly_barbie_vibes_",0,183
"barbie_but_its_the_end_of_the_movie_and_youre_sad","im_a_barbie_girl_in_a_barbie_world_sukuna",1,480
"barbie_but_its_the_end_of_the_movie_and_youre_sad","barbie_can_you_play_ken",2,166
"barbie_but_its_the_end_of_the_movie_and_youre_sad","barbie_vibes",0,297
"barbie_but_its_the_end_of_the_movie_and_youre_sad","🌷🎀_Barbie_Vibes_🛼🌸",0,332
"barbie_but_its_the_end_of_the_movie_and_youre_sad","what_was_i_made_for_type_of_sad",21,121
"barbie_but_its_the_end_of_the_movie_and_youre_sad","barbie_movie_vibes_2023",0,238
"barbie_but_its_the_end_of_the_movie_and_youre_sad","beverly_hills_barbenheimer",0,167
"barbie_but_its_the_end_of_the_movie_and_youre_sad","💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana",0,267
"barbie_but_its_the_end_of_the_movie_and_youre_sad","barbenheimer💅💣_Aobambi",0,152
"barbie_but_its_the_end_of_the_movie_and_youre_sad","barbenheimer_Marianna",0,228
"barbie_but_its_the_end_of_the_movie_and_youre_sad","summer_of_barbenheimer",0,206
"barbie_but_its_the_end_of_the_movie_and_youre_sad","barbenheimer_Dee&FromZimbabwe",0,147
"barbie_but_its_the_end_of_the_movie_and_youre_sad","barbenheimerrr💕💥_daisyrain323&others",0,312
"barbie_but_its_the_end_of_the_movie_and_youre_sad","barbenheimer_satiahatami",0,212
"barbie_but_its_the_end_of_the_movie_and_youre_sad","barbenheimer_jsobo",0,350
"barbie_but_its_the_end_of_the_movie_and_youre_sad","barbenheimer_Vanessasapinheiro&RennieKeller",0,288
"barbie_but_its_the_end_of_the_movie_and_youre_sad","barbenheimer_JessicaKoebelMillen",0,231
"barbie_but_its_the_end_of_the_movie_and_youre_sad","barbenheimer_MrMario",0,204
"barbie_but_its_the_end_of_the_movie_and_youre_sad","barbenheimer_hoe_down",1,237
"barbie_but_its_the_end_of_the_movie_and_youre_sad","barbenheimer_cody",0,148
"barbie_but_its_the_end_of_the_movie_and_youre_sad","barbenheimer_Sam Telford",0,197
"barbie_but_its_the_end_of_the_movie_and_youre_sad","i_am_literally_oppenheimer__i_am_a_girl_",0,170
"barbie_but_its_the_end_of_the_movie_and_youre_sad","oppenheimer_Ben",1,238
"barbie_but_its_the_end_of_the_movie_and_youre_sad","an_oppenheimer_playlist",0,139
"barbie_but_its_the_end_of_the_movie_and_youre_sad","now_i_am_become_death_the_destroyer_of_worlds_Marissa",0,181
"barbie_but_its_the_end_of_the_movie_and_youre_sad","studying_like_oppenheimer_MaxColannino",0,239
"barbie_but_its_the_end_of_the_movie_and_youre_sad","oppenheimer_vibes_YirnickvanDijk",0,141
"barbie_but_its_the_end_of_the_movie_and_youre_sad","now_i_have_become_death_the_destroyer_of_words_EastPermianFederation",0,146
"barbie_but_its_the_end_of_the_movie_and_youre_sad","oppenheimer_vibes_SUGABUSH",0,157
"barbie_but_its_the_end_of_the_movie_and_youre_sad","now_i_am_become_death_the_destroyer_of_worlds_Eren",1,185
"barbie_but_its_the_end_of_the_movie_and_youre_sad","oppenheimer_Nadia",0,161
"barbie_but_its_the_end_of_the_movie_and_youre_sad","oppenheimer_vibes_PetroAlexiou",0,146
"barbie_but_its_the_end_of_the_movie_and_youre_sad","oppenheimer_vibes_raziqsafri",0,149
"barbie_but_its_the_end_of_the_movie_and_youre_sad","oppenheimer_vibes_Dugger",0,163
"barbie_but_its_the_end_of_the_movie_and_youre_sad","oppenheimer_vibes_Sorenjc",0,160
"barbie_but_its_the_end_of_the_movie_and_youre_sad","oppenheimer_vibes_Athlaros",0,161
"barbie_but_its_the_end_of_the_movie_and_youre_sad","oppenheimer_-_a_study_playlist",0,153
"barbie_the_movie_vibes","barbie_playlist",11,100
"barbie_the_movie_vibes","im_a_barbie_girl_in_a_barbie_world_nicole<3",4,154
"barbie_the_movie_vibes","barbie_vibes_",3,139
"barbie_the_movie_vibes","what_was_i_made_for",0,123
"barbie_the_movie_vibes","girly_barbie_vibes_",1,127
"barbie_the_movie_vibes","im_a_barbie_girl_in_a_barbie_world_sukuna",5,418
"barbie_the_movie_vibes","barbie_can_you_play_ken",0,116
"barbie_the_movie_vibes","barbie_vibes",5,233
"barbie_the_movie_vibes","🌷🎀_Barbie_Vibes_🛼🌸",8,262
"barbie_the_movie_vibes","what_was_i_made_for_type_of_sad",0,109
