playlist a,playlist b,common tracks, unique tracks
"barbenheimer_satiahatami","barbenheimer_hoe_down",8,177
"barbenheimer_satiahatami","barbenheimer_cody",1,100
"barbenheimer_satiahatami","barbenheimer_Sam Telford",1,149
"barbenheimer_jsobo","barbenheimer_Vanessasapinheiro&RennieKeller",2,376
"barbenheimer_jsobo","barbenheimer_JessicaKoebelMillen",2,319
"barbenheimer_jsobo","barbenheimer_MrMario",1,294
"barbenheimer_jsobo","barbenheimer_hoe_down",7,317
"barbenheimer_jsobo","barbenheimer_cody",1,238
"barbenheimer_jsobo","barbenheimer_Sam Telford",5,279
"barbenheimer_Vanessasapinheiro&RennieKeller","barbenheimer_JessicaKoebelMillen",15,231
"barbenheimer_Vanessasapinheiro&RennieKeller","barbenheimer_MrMario",1,232
"barbenheimer_Vanessasapinheiro&RennieKeller","barbenheimer_hoe_down",0,269
"barbenheimer_Vanessasapinheiro&RennieKeller","barbenheimer_cody",1,176
"barbenheimer_Vanessasapinheiro&RennieKeller","barbenheimer_Sam Telford",1,225
"barbenheimer_JessicaKoebelMillen","barbenheimer_MrMario",1,175
"barbenheimer_JessicaKoebelMillen","barbenheimer_hoe_down",2,208
"barbenheimer_JessicaKoebelMillen","barbenheimer_cody",3,115
"barbenheimer_JessicaKoebelMillen","barbenheimer_Sam Telford",7,156
"barbenheimer_MrMario","barbenheimer_hoe_down",1,183
"barbenheimer_MrMario","barbenheimer_cody",0,94
"barbenheimer_MrMario","barbenheimer_Sam Telford",0,143
"barbenheimer_hoe_down","barbenheimer_cody",0,129
"barbenheimer_hoe_down","barbenheimer_Sam Telford",4,170
"barbenheimer_cody","barbenheimer_Sam Telford",3,81
