playlist a,playlist b,common tracks, unique tracks
"beverly_hills_barbenheimer","rpg_dark_music",0,413
"beverly_hills_barbenheimer","dd_sci-fi_action",0,91
"beverly_hills_barbenheimer","mood_-_fey_-_dark_fantasy_rpg",0,50
"beverly_hills_barbenheimer","local_-_tribal_-_dark_fantasy_rpg",0,72
"beverly_hills_barbenheimer","setting_chult",0,77
"beverly_hills_barbenheimer","atmosphere_the_capital",0,48
"beverly_hills_barbenheimer","rpg_royal_court_ambiance",0,513
"beverly_hills_barbenheimer","holy_ground",0,57
"beverly_hills_barbenheimer","dd_ancient_ruins",0,143
"beverly_hills_barbenheimer","atmosphere_the_saloon",0,71
"beverly_hills_barbenheimer","atmosphere_the_tavern",0,69
"beverly_hills_barbenheimer","atmosphere_the_road",0,155
"beverly_hills_barbenheimer","dd_action_time",0,167
"beverly_hills_barbenheimer","music_wistful",0,51
"beverly_hills_barbenheimer","atmosphere_the_dungeon",0,49
"beverly_hills_barbenheimer","desolate",0,39
"beverly_hills_barbenheimer","combat_epic",0,155
"beverly_hills_barbenheimer","combat_duel",0,101
"beverly_hills_barbenheimer","dark_haunting_music",0,286
"beverly_hills_barbenheimer","atmosphere_the_wild",0,231
"beverly_hills_barbenheimer","combat_tough",0,185
"beverly_hills_barbenheimer","music_suspense",0,74
"beverly_hills_barbenheimer","mood_-_funny_-_dark_fantasy_rpg",0,42
"beverly_hills_barbenheimer","music_adventure",0,44
"beverly_hills_barbenheimer","manor__royalty",0,69
"beverly_hills_barbenheimer","large_scale_battle",0,40
"beverly_hills_barbenheimer","mood_mysterious",0,113
"beverly_hills_barbenheimer","strahd_-_strahd",0,100
"beverly_hills_barbenheimer","boss_favorites",0,52
"beverly_hills_barbenheimer","challenge__chase_scenes",0,50
"beverly_hills_barbenheimer","atmosphere_the_fey",0,67
"beverly_hills_barbenheimer","mood_-_danger_-_dark_fantasy_rpg",0,58
"beverly_hills_barbenheimer","setting_barovia",0,66
"beverly_hills_barbenheimer","mood_-_death_-_dark_fantasy_rpg",0,66
"beverly_hills_barbenheimer","city",0,114
"beverly_hills_barbenheimer","mood_tense",0,113
"beverly_hills_barbenheimer","village__pub",0,63
"beverly_hills_barbenheimer","road",0,52
"beverly_hills_barbenheimer","mood_serious",0,172
"beverly_hills_barbenheimer","music_combat_brutal",0,64
"beverly_hills_barbenheimer","mood_-_mistery_-_dark_fantasy_rpg",0,59
"beverly_hills_barbenheimer","battle_-_regular_-_dark_fantasy_rpg",0,64
"beverly_hills_barbenheimer","mood_somber",0,157
"beverly_hills_barbenheimer","dd_horrific_action",0,98
"beverly_hills_barbenheimer","a_fated_duel",0,39
"beverly_hills_barbenheimer","mood_denouement",0,77
"beverly_hills_barbenheimer","monsters_giants",0,65
"beverly_hills_barbenheimer","mood_joyful",0,55
"beverly_hills_barbenheimer","mood_-_calm_-_dark_fantasy_rpg",0,63
"beverly_hills_barbenheimer","dd_haunted_house",0,129
"beverly_hills_barbenheimer","mood_-_tension_-_dark_fantasy_rpg",0,62
"beverly_hills_barbenheimer","monsters_beasts",0,45
"beverly_hills_barbenheimer","mood_ridiculous",0,49
"beverly_hills_barbenheimer","thrash",0,40
"beverly_hills_barbenheimer","dd_cyber_action",0,137
"beverly_hills_barbenheimer","combat_boss",0,189
"beverly_hills_barbenheimer","battle_-_horror_-_dark_fantasy_rpg",0,75
"beverly_hills_barbenheimer","monsters_orcs",0,59
"beverly_hills_barbenheimer","combat_standard",0,133
"beverly_hills_barbenheimer","dd_underdark",0,146
"beverly_hills_barbenheimer","doom",0,40
"beverly_hills_barbenheimer","beautiful_emotional_music",0,215
"beverly_hills_barbenheimer","mood_creepy",0,117
"beverly_hills_barbenheimer","situation_stealth",0,132
"beverly_hills_barbenheimer","rpg_epic_action_music",0,152
"beverly_hills_barbenheimer","otherworld",0,43
"beverly_hills_barbenheimer","russell_shaw_pinnacle_tracks",0,46
"beverly_hills_barbenheimer","battle_-_epic_-_dark_fantasy_rpg",0,61
"beverly_hills_barbenheimer","dd_sacred",0,186
"beverly_hills_barbenheimer","monsters_goblins",0,44
"beverly_hills_barbenheimer","local_-_temple_-_dark_fantasy_rpg",0,51
"beverly_hills_barbenheimer","monsters_aberrations",0,74
"beverly_hills_barbenheimer","dd_wild_action",0,95
"beverly_hills_barbenheimer","local_-_sea_-_dark_fantasy_rpg",0,44
"beverly_hills_barbenheimer","ambient_storm",0,49
"beverly_hills_barbenheimer","ominous",0,69
"beverly_hills_barbenheimer","music_evil",0,54
"beverly_hills_barbenheimer","dd_hardcore_action",0,88
"beverly_hills_barbenheimer","dd_boss_battles",0,159
"beverly_hills_barbenheimer","mood_-_dark_-_dark_fantasy_rpg",0,68
"beverly_hills_barbenheimer","intensity_3",0,58
"beverly_hills_barbenheimer","ambient_forest",0,53
"beverly_hills_barbenheimer","dd_astral",0,110
"beverly_hills_barbenheimer","dd_fierce_action",0,119
"beverly_hills_barbenheimer","sad",0,58
"beverly_hills_barbenheimer","dd_the_wilds",0,136
"beverly_hills_barbenheimer","dd_creepy",0,117
"beverly_hills_barbenheimer","intensity_2",0,54
"beverly_hills_barbenheimer","dd_cinematic",0,109
"beverly_hills_barbenheimer","mood_pleasant",0,102
"beverly_hills_barbenheimer","combat_horrifying",0,69
"beverly_hills_barbenheimer","atmosphere_the_manor",0,67
"beverly_hills_barbenheimer","atmosphere_the_underdark",0,58
"beverly_hills_barbenheimer","mood_ominous",0,235
"beverly_hills_barbenheimer","ambient_ocean",0,46
"beverly_hills_barbenheimer","local_-_nature_-_dark_fantasy_rpg",0,56
"beverly_hills_barbenheimer","idle__peaceful",0,92
"beverly_hills_barbenheimer","mood_triumphant",0,71
"beverly_hills_barbenheimer","intensity_1",0,56
"beverly_hills_barbenheimer","dd_dungeons",0,158
"beverly_hills_barbenheimer","royal_qualms",0,39
"beverly_hills_barbenheimer","blood_moon",0,59
"beverly_hills_barbenheimer","music_safe",0,79
"beverly_hills_barbenheimer","atmosphere_town",0,46
"beverly_hills_barbenheimer","valormore",0,56
"beverly_hills_barbenheimer","rpg_background_music",0,715
"beverly_hills_barbenheimer","dd_fantasy_overworld",0,205
"beverly_hills_barbenheimer","music_catharsis",0,57
"beverly_hills_barbenheimer","mood_-_victory_-_dark_fantasy_rpg",0,45
"beverly_hills_barbenheimer","pot_rivellon",0,113
"beverly_hills_barbenheimer","fantasymusic",0,78
"beverly_hills_barbenheimer","road_trip_____",1,324
"beverly_hills_barbenheimer","summer_road_trip_vibes",1,244
"beverly_hills_barbenheimer","roadtrip_",1,294
"beverly_hills_barbenheimer","the_ultimate_roadtrip_playlist__",1,545
"beverly_hills_barbenheimer","all_american_road_trip",0,62
"beverly_hills_barbenheimer","road_trippin_",1,1634
"beverly_hills_barbenheimer","road_trip____",0,376
"beverly_hills_barbenheimer","roadtrippin_",1,436
"beverly_hills_barbenheimer","road_trip_",1,358
"beverly_hills_barbenheimer","90s__00s_road_trippin",0,224
