tracks,occurrence,freqency
"What Was I Made For? [From The Motion Picture Barbie]",5,0.113636
"Halley's Comet",2,0.045455
"I know it won't work",1,0.022727
"TV",3,0.068182
"Fine Line",1,0.022727
"my tears ricochet",2,0.045455
"Matilda",3,0.068182
"this is me trying",3,0.068182
"Male Fantasy",2,0.045455
"Scott Street",2,0.045455
"Waiting Room",1,0.022727
"I Know The End",3,0.068182
"I miss you, I’m sorry",1,0.022727
"Getting Older",2,0.045455
"Moon Song",3,0.068182
"The 30th",2,0.045455
"Funeral",2,0.045455
"That Funny Feeling",2,0.045455
"Savior Complex",3,0.068182
"Fourth of July",1,0.022727
"Motion Sickness",1,0.022727
"Punisher",1,0.022727
"The Cut That Always Bleeds",1,0.022727
"happiness",1,0.022727
"Bigger Than The Whole Sky",1,0.022727
"You Missed My Heart",1,0.022727
"You're On Your Own, Kid",1,0.022727
"Everything Happens For A Reason",1,0.022727
"j's lullaby (darlin' i'd wait for you)",1,0.022727
"Smoke Signals",1,0.022727
"the lakes - bonus track",1,0.022727
"seven",1,0.022727
"Vienna",1,0.022727
"The Gold - Phoebe Bridgers Version",2,0.045455
"mirrorball",2,0.045455
"Cool About It",2,0.045455
"Nothing New (feat. Phoebe Bridgers) (Taylor’s Version) (From The Vault)",3,0.068182
"right where you left me - bonus track",1,0.022727
"champagne problems",1,0.022727
"Graceland Too",1,0.022727
"tolerate it",2,0.045455
"Happiness is a butterfly",2,0.045455
"evermore (feat. Bon Iver)",1,0.022727
"Sad Beautiful Tragic (Taylor's Version)",1,0.022727
"Astronomy",1,0.022727
"From the Dining Table",1,0.022727
"ceilings",1,0.022727
"the 1",1,0.022727
"Would've, Could've, Should've",2,0.045455
"Labyrinth",1,0.022727
"peace",1,0.022727
"hoax",1,0.022727
"Like Real People Do",1,0.022727
"1 step forward, 3 steps back",1,0.022727
"October Passed Me By",1,0.022727
"Till Forever Falls Apart",1,0.022727
"august",1,0.022727
"New Year’s Day",1,0.022727
"enough for you",3,0.068182
"exile (feat. Bon Iver)",1,0.022727
"I’ll Still Have Me",1,0.022727
"hope ur ok",1,0.022727
"Feels Like",1,0.022727
"ur so pretty",1,0.022727
"Why Am I Like This?",1,0.022727
"Norman fucking Rockwell",2,0.045455
"Sad Girl",1,0.022727
"How to disappear",1,0.022727
"The Archer",2,0.045455
"hate to be lame",1,0.022727
"Block me out",1,0.022727
"Your Power",1,0.022727
"Bruises",1,0.022727
"you were good to me",1,0.022727
"Train Wreck",1,0.022727
"July",1,0.022727
"Wish You The Best",1,0.022727
"Wrong Direction",1,0.022727
"Jealous",1,0.022727
"i love you",1,0.022727
"Lost Without You",1,0.022727
"Selfish",1,0.022727
"Close To You",1,0.022727
"I Have Questions",1,0.022727
"Lose You To Love Me",1,0.022727
"So You Are Tired",1,0.022727
"Rosyln",1,0.022727
"Cry",1,0.022727
"Flightless Bird, American Mouth",1,0.022727
"Did you know that there's a tunnel under Ocean Blvd",1,0.022727
"Be My Mistake",1,0.022727
"Youth",1,0.022727
"Wasting My Young Years",1,0.022727
"Please, Please, Please, Let Me Get What I Want - 2011 Remaster",1,0.022727
"Die For You",1,0.022727
"Cherry Wine - Live",1,0.022727
"Berlin",1,0.022727
"The Other Woman",1,0.022727
"Only",2,0.045455
"THE LONELIEST",1,0.022727
"The Scientist",1,0.022727
"I’m Tired (with Zendaya) - Bonus Track",2,0.045455
"Margaret (feat. Bleachers)",1,0.022727
"Last Day That You Loved Me",1,0.022727
"Unconditional",1,0.022727
"Sparks",3,0.068182
"Cinnamon Girl",2,0.045455
"State Lines",1,0.022727
"favorite crime",1,0.022727
"listen before i go",1,0.022727
"lacy",2,0.045455
"The Story",1,0.022727
"Let The Light In (feat. Father John Misty)",1,0.022727
"Paris, Texas (feat. SYML)",2,0.045455
"Land Where I Land",1,0.022727
"Years On",1,0.022727
"End of Beginning",2,0.045455
"we can't be friends (wait for your love)",2,0.045455
"My Love Mine All Mine",1,0.022727
"Evergreen",1,0.022727
"Chemtrails Over The Country Club",1,0.022727
"SKINNY",2,0.045455
"loml",1,0.022727
"The Black Dog",1,0.022727
"How Did It End?",1,0.022727
"The Prophecy",1,0.022727
"how many things",1,0.022727
"Little Freak",1,0.022727
"cardigan",1,0.022727
"Barbie Girl",15,0.340909
"Material Girl",10,0.227273
"'Cause I'm a Blonde",1,0.022727
"Made You Look",2,0.045455
"We Got The Beat",1,0.022727
"Life in the Dreamhouse (From the TV Series)",1,0.022727
"Cut To The Feeling",4,0.090909
"Perfect Day - Chris Lord Alge Mix",5,0.113636
"Barbie Dreamhouse Adventures Theme Song",1,0.022727
"Boom, Boom, Boom, Boom!!",4,0.090909
"Funkytown",1,0.022727
"What Dreams Are Made Of",4,0.090909
"Summertime Fun!",1,0.022727
"Two of Hearts",1,0.022727
"Gonna Shine",1,0.022727
"Stop",1,0.022727
"Shut Up And Drive",7,0.159091
"Vacation",1,0.022727
"The Tide Is High - Radio Mix",2,0.045455
"Sunday Girl",1,0.022727
"Cruel Summer",4,0.090909
"Long Hot Summer",1,0.022727
"Xanadu",2,0.045455
"Mickey",1,0.022727
"Walking On Sunshine",1,0.022727
"Hello Hello",1,0.022727
"(I'm a) Happy Girl",1,0.022727
"Best Friend",1,0.022727
"Work It",2,0.045455
"Call Me Maybe",2,0.045455
"1001 Arabian Nights",1,0.022727
"What I Like - Wannaboo Playlist",1,0.022727
"Make It Shine (Victorious Theme) (feat. Victoria Justice)",1,0.022727
"Boys And Girls",1,0.022727
"Love Machine",1,0.022727
"Upside Down",1,0.022727
"Girls Just Wanna Have Fun",2,0.045455
"Something That I Want",1,0.022727
"You'Re The One",1,0.022727
"Scratch",1,0.022727
"Don't Stop Movin'",1,0.022727
"Who Do You Think You Are",2,0.045455
"A Public Affair",1,0.022727
"Think Pink",1,0.022727
"That's My Girl",5,0.113636
"Pink",4,0.090909
"Dance The Night",4,0.090909
"Barbie World (with Aqua)",4,0.090909
"Speed Drive",2,0.045455
"WATATI (feat. Aldo Ranks)",3,0.068182
"Journey To The Real World",2,0.045455
"Hey Blondie",2,0.045455
"Home",2,0.045455
"What Was I Made For?",1,0.022727
"Forever & Again",2,0.045455
"Silver Platter",2,0.045455
"Angel",3,0.068182
"butterflies",2,0.045455
"Choose Your Fighter",2,0.045455
"Barbie Dreams (feat. Kaliii)",1,0.022727
"Versions of Me",1,0.022727
"Malibu",4,0.090909
"Woman (feat. The Dap-Kings Horns)",2,0.045455
"Perfect For You",2,0.045455
"We Like To Party! (The Vengabus)",1,0.022727
"Hey Mickey",2,0.045455
"Sorry, I'm a Lady",1,0.022727
"Pink (Bad Day) [From Barbie The Album]",2,0.045455
"Anticipating",1,0.022727
"Happy Together",1,0.022727
"Brave New Girl",1,0.022727
"Good Morning Sunshine",1,0.022727
"I Think We're Alone Now",1,0.022727
"Murder On The Dancefloor",4,0.090909
"I'm So Lucky Lucky",1,0.022727
"Dance The Night - From Barbie The Album",14,0.318182
"Barbie World (with Aqua) [From Barbie The Album]",9,0.204545
"Speed Drive (From Barbie The Album)",11,0.250000
"Angel (From Barbie The Album)",5,0.113636
"Barbie Dreams (feat. Kaliii) [From Barbie The Album]",3,0.068182
"I'm Just Ken",3,0.068182
"WATATI (feat. Aldo Ranks) [From Barbie The Album]",4,0.090909
"Man I Am",2,0.045455
"Push (From Barbie The Album)",2,0.045455
"Closer To Fine (From Barbie The Album)",2,0.045455
"Meeting Ruth",1,0.022727
"Stairway to Weird Barbie",1,0.022727
"Ken Makes a Discovery",2,0.045455
"You Failed Me!",1,0.022727
"I'm Just Ken - Merry Kristmas Barbie",1,0.022727
"Girls Just Want to Have Fun",9,0.204545
"Spice Up Your Life",2,0.045455
"Closer to Fine",1,0.022727
"Push",1,0.022727
"Independent Women, Pt. 1",2,0.045455
"Stayin' Alive - From Saturday Night Fever Soundtrack",4,0.090909
"Lady Marmalade - Single Edit",1,0.022727
"Boss Bitch",5,0.113636
"Let's Hear It for the Boy - From Footloose Soundtrack",1,0.022727
"You're The One That I Want - From “Grease”",2,0.045455
"I2I",2,0.045455
"I Would Die 4 U",1,0.022727
"Try Again",1,0.022727
"Juice (Know The Ledge)",1,0.022727
"Rhythm Of The Night",1,0.022727
"9 to 5",2,0.045455
"It Must Have Been Love - From the Film Pretty Woman",1,0.022727
"Bamboo Ride",1,0.022727
"Sweet Freedom",1,0.022727
"Take My Breath Away - Love Theme from Top Gun",1,0.022727
"7 rings",8,0.181818
"Super Bass",9,0.204545
"Say So",5,0.113636
"Love Again",2,0.045455
"Ice Cream (with Selena Gomez)",2,0.045455
"Rain On Me (with Ariana Grande)",2,0.045455
"Bling Bling",1,0.022727
"Nothing Else Matters",1,0.022727
"Fabulous",3,0.068182
"Kiss Me More (feat. SZA)",7,0.159091
"Va Va Voom",3,0.068182
"Sangria Wine",1,0.022727
"California Gurls",10,0.227273
"Miss Americana & The Heartbreak Prince",1,0.022727
"I'm Still Good",1,0.022727
"Fancy",1,0.022727
"fake smile",1,0.022727
"Kiss and Make Up",2,0.045455
"Only Girl (In The World)",5,0.113636
"Is Your Love Enough?",1,0.022727
"Famous",1,0.022727
"Just A Girl",5,0.113636
"I'm Coming Out",2,0.045455
"Fashion Is My Kryptonite (from Shake It Up: Made In Japan)",1,0.022727
"Who's That Chick?",1,0.022727
"Starships",7,0.159091
"You Need To Calm Down",4,0.090909
"Focus",3,0.068182
"Stars Are Blind",2,0.045455
"Rose Colored Lenses",1,0.022727
"Bubblegum Bitch",6,0.136364
"This Kiss",1,0.022727
"Check It Out",1,0.022727
"Touch",2,0.045455
"Paper Rings",2,0.045455
"Not Your Barbie Girl",3,0.068182
"Boys",4,0.090909
"Pretty Girls",3,0.068182
"Sorry Not Sorry",4,0.090909
"Good as Hell (feat. Ariana Grande) - Remix",1,0.022727
"Boy With Luv (feat. Halsey)",3,0.068182
"Be Kind (with Halsey)",1,0.022727
"Bejeweled",5,0.113636
"1999",1,0.022727
"Hits Different",2,0.045455
"telepatía",2,0.045455
"Tusa",1,0.022727
"Cool for the Summer",3,0.068182
"bloodline",1,0.022727
"Sweet Melody",1,0.022727
"How I Look On You",1,0.022727
"Plastic Hearts",1,0.022727
"Sour Candy (with BLACKPINK)",1,0.022727
"Live It Up",1,0.022727
"Boom Clap",2,0.045455
"Play Date",2,0.045455
"Diamonds",1,0.022727
"Levitating",6,0.136364
"Don't Go Yet",1,0.022727
"Boys (Summertime Love)",1,0.022727
"(You Drive Me) Crazy",3,0.068182
"Milkshake",3,0.068182
"Good Ones",1,0.022727
"Still Learning",1,0.022727
"Island",1,0.022727
"All Of The Girls You Loved Before",1,0.022727
"Ordinary Girl",3,0.068182
"Eh, Eh (Nothing Else I Can Say)",2,0.045455
"Agüita",1,0.022727
"Let's Get Crazy",1,0.022727
"Fashion!",2,0.045455
"Break Free",1,0.022727
"Choose Your Fighter (From Barbie The Album)",2,0.045455
"The Man",5,0.113636
"Power",2,0.045455
"Rock Star",2,0.045455
"Bed Chem",2,0.045455
"Perfect Day",2,0.045455
"Hollaback Girl",1,0.022727
"Whip My Hair",3,0.068182
"Womanizer",6,0.136364
"Toxic",6,0.136364
"...Baby One More Time",4,0.090909
"Circus",5,0.113636
"Wannabe",3,0.068182
"Dancing Queen",3,0.068182
"Pound The Alarm",4,0.090909
"Teenage Dream",5,0.113636
"Bad Romance",3,0.068182
"All About That Bass",2,0.045455
"Pretty Girl Rock",4,0.090909
"My Type",4,0.090909
"Fly",2,0.045455
"Run the World (Girls)",1,0.022727
"I'll Always Remember You",1,0.022727
"LoveGame",1,0.022727
"Moment 4 Life",2,0.045455
"When I Grow Up",6,0.136364
"SOS",4,0.090909
"Barbie Tingz",5,0.113636
"Did It On’em",2,0.045455
"Hips Don't Lie (feat. Wyclef Jean)",6,0.136364
"Pon de Replay",2,0.045455
"The Sweet Escape",5,0.113636
"Genie In a Bottle",3,0.068182
"What the Hell",3,0.068182
"Lip Gloss",3,0.068182
"Don't Cha",6,0.136364
"Umbrella",3,0.068182
"What's My Name?",3,0.068182
"Girlfriend",2,0.045455
"TiK ToK",5,0.113636
"London Bridge",2,0.045455
"thank u, next",7,0.159091
"God is a woman",4,0.090909
"break up with your girlfriend, i'm bored",4,0.090909
"no tears left to cry",2,0.045455
"Truth Hurts",3,0.068182
"Good as Hell",2,0.045455
"Look What You Made Me Do",4,0.090909
"Crying in the Club",1,0.022727
"Hey Hey Hey",1,0.022727
"I Knew You Were Trouble.",1,0.022727
"Heart Attack",1,0.022727
"I'm a Slave 4 U",1,0.022727
"Gimme More",7,0.159091
"Luxury",2,0.045455
"Criminal",1,0.022727
"Turn It Up",1,0.022727
"Maneater",7,0.159091
"Soldier (feat. T.I. & Lil' Wayne)",1,0.022727
"Glamorous",8,0.181818
"Big Girls Don't Cry (Personal)",1,0.022727
"Rich Girl",6,0.136364
"Since U Been Gone",2,0.045455
"If I Were a Boy",1,0.022727
"Special",2,0.045455
"hotline (edit)",1,0.022727
"cellophane",1,0.022727
"Amelie",1,0.022727
"My Mother & I",1,0.022727
"Letter To An Old Poet",1,0.022727
"i'm worried it will always be you",1,0.022727
"things i wish you said",1,0.022727
"The Alcott (feat. Taylor Swift)",1,0.022727
"The End Of Love",1,0.022727
"Two people",1,0.022727
"Nobody Gets Me",1,0.022727
"i'll never fall in love with myself - demo",1,0.022727
"Goodnight",1,0.022727
"Mean It",1,0.022727
"Can't Help Falling in Love",2,0.045455
"the grudge",1,0.022727
"making the bed",1,0.022727
"Cassandra",1,0.022727
"I Hate It Here",1,0.022727
"Can’t Catch Me Now - from The Hunger Games: The Ballad of Songbirds & Snakes",2,0.045455
"History Of Man",1,0.022727
"mad woman",1,0.022727
"complex",1,0.022727
"Gave You I Gave You I",1,0.022727
"Lie To Girls",1,0.022727
"Did You Like Her In The Morning?",1,0.022727
"Giver / Taker",1,0.022727
"Killer + The Sound",1,0.022727
"WILDFLOWER",2,0.045455
"opposite",2,0.045455
"Supermodel (You Better Work)",2,0.045455
"Vogue",2,0.045455
"Don’t Call Me Angel (Charlie’s Angels) (with Miley Cyrus & Lana Del Rey)",1,0.022727
"Fergalicious",5,0.113636
"Milkshake - Radio Mix",1,0.022727
"Whine Up (feat. Elephant Man) - English Version",1,0.022727
"Diva",2,0.045455
"Dangerous Woman",2,0.045455
"Sexy And I Know It",1,0.022727
"Paparazzi",3,0.068182
"On The Floor - Radio Edit",1,0.022727
"Sweet but Psycho",1,0.022727
"Work Bitch",4,0.090909
"Crazy In Love (feat. JAY-Z)",3,0.068182
"You Don't Own Me (feat. G-Eazy)",1,0.022727
"Dancing With A Stranger (with Normani)",1,0.022727
"Pocketful of Sunshine",2,0.045455
"Me & My Girls",1,0.022727
"Sissy That Walk",1,0.022727
"Bad Girls",3,0.068182
"My Humps",2,0.045455
"Obsessed",5,0.113636
"Say My Name",2,0.045455
"Booty",2,0.045455
"Touch My Body",1,0.022727
"Believe",2,0.045455
"Hush Hush; Hush Hush / I Will Survive - Medley",1,0.022727
"It's Not Right but It's Okay - Thunderpuss Mix/Remastered: 2000",1,0.022727
"Bills, Bills, Bills",5,0.113636
"Let's Have A Kiki",1,0.022727
"Bodak Yellow",2,0.045455
"Cover Girl",2,0.045455
"75, Brazil Street - Original Mix",1,0.022727
"Brown Cow Stunning",1,0.022727
"Mr. Saxobeat",2,0.045455
"The Bomb! (These Sound Fall into My Mind) - Radio Edit",1,0.022727
"Espresso",4,0.090909
"yes, and?",1,0.022727
"Guess featuring billie eilish",1,0.022727
"Taste",2,0.045455
"Pink (From Barbie The Album)",1,0.022727
"HOT TO GO!",3,0.068182
"S&M",4,0.090909
"Finally",1,0.022727
"Nice Tights - Keenhouse Remix",1,0.022727
"Bloom",1,0.022727
"sweetener",1,0.022727
"Be Alright",1,0.022727
"Juice",2,0.045455
"successful",2,0.045455
"My My My!",1,0.022727
"All For You",1,0.022727
"Don't Start Now",2,0.045455
"Woman",7,0.159091
"SCOOP (feat. Doja Cat)",2,0.045455
"Formation",2,0.045455
"Like That (feat. Gucci Mane)",4,0.090909
"34+35",4,0.090909
"WAP (feat. Megan Thee Stallion)",3,0.068182
"Juicy",3,0.068182
"BO$$",3,0.068182
"Up",4,0.090909
"Bang Bang",5,0.113636
"Telephone",2,0.045455
"One Kiss (with Dua Lipa)",2,0.045455
"Lady Marmalade",1,0.022727
"Swish Swish",1,0.022727
"Bootylicious",2,0.045455
"Greedy",3,0.068182
"Applause",2,0.045455
"Children",1,0.022727
"I Am The Body Beautiful",1,0.022727
"the light is coming (feat. Nicki Minaj)",1,0.022727
"MEGATRON",1,0.022727
"In My Head",1,0.022727
"I'm Every Woman",2,0.045455
"Pump Up The Jam",1,0.022727
"Her",2,0.045455
"What Is Love - 7 Mix",1,0.022727
"Like This (feat. Eve)",3,0.068182
"Tambourine",2,0.045455
"Hallucinate",2,0.045455
"I Want It All",1,0.022727
"My Dilemma",1,0.022727
"Promiscuous",8,0.181818
"The Way I Are",4,0.090909
"What’s New",2,0.045455
"Need to Know",3,0.068182
"Money",2,0.045455
"Act Up",1,0.022727
"I Do (feat. SZA)",1,0.022727
"Bestie (feat. Kodak Black)",1,0.022727
"Sorry",1,0.022727
"Press",1,0.022727
"Pour It Up",1,0.022727
"Bitch Better Have My Money",1,0.022727
"Cash Shit (feat. DaBaby)",1,0.022727
"Feeling Myself",1,0.022727
"Partition",1,0.022727
"She Bad",1,0.022727
"7/11",1,0.022727
"Bartier Cardi (feat. 21 Savage)",1,0.022727
"Barbie Dreams",2,0.045455
"Sex With Me",1,0.022727
"MONOPOLY (with Victoria Monét)",1,0.022727
"Hold Up",1,0.022727
"No Scrubs",4,0.090909
"2 On (feat. ScHoolboy Q)",1,0.022727
"Boss Ass Bitch",1,0.022727
"CRZY",1,0.022727
"Get Ur Freak On",1,0.022727
"Jumpin', Jumpin'",3,0.068182
"Love Galore (feat. Travis Scott)",1,0.022727
"Confident",2,0.045455
"bad guy",2,0.045455
"IDGAF",1,0.022727
"Hurts Like Hell (feat. Offset)",1,0.022727
"I Like That",1,0.022727
"Look At Her Now",1,0.022727
"Queen's Speech 4",1,0.022727
"Really Don't Care",1,0.022727
"I Bring Me",1,0.022727
"Who's That Girl?",1,0.022727
"Paper Planes",2,0.045455
"Pretty Girl",2,0.045455
"6 Inch (feat. The Weeknd)",1,0.022727
"***Flawless (feat. Chimamanda Ngozi Adichie)",1,0.022727
"Flawless Remix (feat. Nicki Minaj)",1,0.022727
"Desperado",1,0.022727
"Imagination",1,0.022727
"There For You - From “Star Season 2",1,0.022727
"Break the Rules",1,0.022727
"More Than A Woman",2,0.045455
"Tia Tamera (feat. Rico Nasty)",3,0.068182
"bad idea",1,0.022727
"I'm Dat Chick",1,0.022727
"I Like It",3,0.068182
"Lemon - Edit",1,0.022727
"Please Me",1,0.022727
"Be Careful",1,0.022727
"Bed (feat. Ariana Grande)",1,0.022727
"Single Ladies (Put a Ring on It)",2,0.045455
"Beef FloMix",3,0.068182
"In The Party",2,0.045455
"Sway With Me (with GALXARA)",1,0.022727
"Part Of Me",2,0.045455
"Savage",2,0.045455
"Thru Your Phone",1,0.022727
"positions",2,0.045455
"G.M.O. (Got My Own)",1,0.022727
"Motivation",3,0.068182
"Get Up (feat. Chamillionaire)",1,0.022727
"Thot Shit",3,0.068182
"Streets",1,0.022727
"pov",1,0.022727
"Get Into It (Yuh)",1,0.022727
"Rules",3,0.068182
"Cognac Queen",1,0.022727
"Freak",3,0.068182
"Good Days",1,0.022727
"Best Friend (feat. Doja Cat)",2,0.045455
"Slumber Party (feat. Princess Nokia)",2,0.045455
"Wild Side (feat. Cardi B)",1,0.022727
"Have Mercy",1,0.022727
"just like magic",1,0.022727
"MONTERO (Call Me By Your Name)",2,0.045455
"Rumors (feat. Cardi B)",1,0.022727
