tracks,occurrence,freqency
"(What A) Wonderful World",1,0.100000
"Peaceful Easy Feeling - 2013 Remaster",1,0.100000
"Brown Eyed Girl",1,0.100000
"Blueberries For Breakfast",1,0.100000
"Wicked Game",1,0.100000
"Dancing In The Street",1,0.100000
"Spooky (Single Version)",1,0.100000
"In My Room - Remastered",1,0.100000
"Everybody Wants To Rule The World",5,0.500000
"I'm Not In Love",1,0.100000
"A Well Respected Man",1,0.100000
"This Must Be the Place (Naive Melody) - 2005 Remaster",1,0.100000
"Fooled Around And Fell In Love",1,0.100000
"Saturday in the Park - 2002 Remaster",1,0.100000
"December, 1963 (Oh What a Night!)",1,0.100000
"Holiday Road - National Lampoon's Vacation",1,0.100000
"Still The Same",1,0.100000
"Old Time Rock & Roll",1,0.100000
"Drive",3,0.300000
"I Got You Babe",1,0.100000
"The Beat Goes On",1,0.100000
"She's A Rainbow",1,0.100000
"Silver Springs - 2004 Remaster",2,0.200000
"Gypsy",2,0.200000
"Never My Love - Remastered Version",1,0.100000
"Ooh La La",1,0.100000
"Over My Head",1,0.100000
"Up Around The Bend",1,0.100000
"Suzie Q",1,0.100000
"Who'll Stop The Rain",1,0.100000
"Long As I Can See The Light",1,0.100000
"I Heard It Through The Grapevine",1,0.100000
"Islands In the Stream",1,0.100000
"I Live for You (2014 Remaster)",1,0.100000
"Baby I'm-a Want You",1,0.100000
"Baby, I Love Your Way",1,0.100000
"You're No Good",1,0.100000
"How Was It for You",1,0.100000
"Sister Golden Hair",1,0.100000
"Hey, Hey, What Can I Do - Remaster",1,0.100000
"I Need You",1,0.100000
"Both Sides Now",1,0.100000
"Burnin' for You",1,0.100000
"Hello It's Me",1,0.100000
"Ventura Highway",1,0.100000
"Running on Empty",1,0.100000
"For What It's Worth",1,0.100000
"Operator (That's Not the Way It Feels)",1,0.100000
"Bad, Bad Leroy Brown",1,0.100000
"Time in a Bottle",1,0.100000
"Werewolves of London",1,0.100000
"The Weight - Remastered 2000",1,0.100000
"Seven Bridges Road - Live at Santa Monica Civic Auditorium, Santa Monica, CA, 7/28/1980; 2018 Remaster",1,0.100000
"Doctor My Eyes - 1997 Remaster",1,0.100000
"Tequila Sunrise - 2013 Remaster",1,0.100000
"New Kid in Town - 2013 Remaster",1,0.100000
"Tin Man",1,0.100000
"Biggest Part of Me",1,0.100000
"Against The Wind",1,0.100000
"You Don't Mess Around with Jim",1,0.100000
"Wouldn't It Be Nice",1,0.100000
"Rocky Mountain High",2,0.200000
"Rikki Don't Lose That Number",1,0.100000
"Rock'n Me",1,0.100000
"Take The Money And Run",1,0.100000
"Jet Airliner",1,0.100000
"Goodbye Stranger",1,0.100000
"Sundown",1,0.100000
"Ride Like the Wind",1,0.100000
"Spirit In The Sky - Deluxe Edition",1,0.100000
"Take It to the Limit - 2013 Remaster",1,0.100000
"Head Over Heels",1,0.100000
"Guitar Man",1,0.100000
"How Much I Feel",1,0.100000
"Harvest Moon",1,0.100000
